transform,depth,residual_k,n_alleles,pds_S,pds_B,pds_S_lo,pds_S_hi,pds_B_lo,pds_B_hi,top1_S,top1_B,delta,delta_lo,delta_hi,signflip_p,alleles_delta_gt0,sib_margin_S,sib_margin_B,sib_delta_exact_p,sib_exact_p_floor
freeman_tukey,50000,1,18,0.86609477124183,0.704248366013072,0.7955044934640523,0.9312111928104575,0.5867347494553377,0.8220349945533768,0.5361111111111111,0.3384259259259259,0.16184640522875815,0.09852873093681912,0.22467388344226574,9.999000099990002e-05,15,0.049722991334028896,0.03095616165127435,0.0625,0.0625
freeman_tukey,100000,1,18,0.9156862745098038,0.7211328976034859,0.8617585784313726,0.962830882352941,0.605441857298475,0.8355943627450981,0.6319444444444444,0.36203703703703705,0.19455337690631808,0.11849060457516337,0.27181372549019606,0.00019998000199980003,15,0.06532350405063421,0.03956806768225214,0.0625,0.0625
freeman_tukey,200000,1,18,0.9761437908496732,0.7541666666666667,0.9536764705882353,0.9938725490196079,0.647192265795207,0.8576028050108931,0.8291666666666667,0.3907407407407407,0.2219771241830065,0.13118055555555558,0.31484272875816993,0.00019998000199980003,15,0.07872932775164374,0.04719387046339601,0.0625,0.0625
freeman_tukey,400000,1,18,1.0,0.7933278867102397,1.0,1.0,0.6997004357298474,0.8819199346405229,1.0,0.4217592592592592,0.20667211328976032,0.1180800653594771,0.30029956427015253,0.00019998000199980003,15,0.08905467128663205,0.05260661449574126,0.0625,0.0625
freeman_tukey,250,5,18,0.6398692810457516,0.6012799564270153,0.6098856209150328,0.672469362745098,0.5708605664488018,0.6318899782135076,0.11944444444444444,0.08935185185185185,0.038589324618736404,0.020887799564270185,0.05762663398692811,0.0005999400059994001,15,0.004231129886094019,0.001669055810435159,0.0625,0.0625
freeman_tukey,500,5,18,0.7090686274509804,0.6629357298474945,0.6700959967320262,0.7477941176470588,0.6247821350762527,0.7014726307189542,0.14861111111111114,0.13194444444444445,0.04613289760348587,0.023146786492374737,0.06819240196078434,0.0014998500149985001,13,0.005988622026950698,0.0039248353075456615,0.125,0.0625
freeman_tukey,1000,5,18,0.7651143790849673,0.7093681917211329,0.7227920751633987,0.8073529411764705,0.6584967320261437,0.7622324346405227,0.21111111111111114,0.16666666666666669,0.05574618736383441,0.038289079520697177,0.07347494553376903,9.999000099990002e-05,17,0.008506399529886402,0.004853088790149256,0.0625,0.0625
freeman_tukey,2000,5,18,0.80718954248366,0.7500272331154684,0.7592320261437908,0.8549019607843138,0.6872549019607843,0.8148154956427016,0.28888888888888886,0.2138888888888889,0.057162309368191715,0.03052764161220042,0.08494008714596948,0.000999900009999,15,0.010299588354975343,0.007511374522416889,0.0625,0.0625
freeman_tukey,5000,5,18,0.8501633986928104,0.7622549019607843,0.7976286764705883,0.90000204248366,0.6901633986928104,0.8357904411764705,0.41805555555555557,0.2625,0.08790849673202612,0.05168709150326799,0.1303656045751634,9.999000099990002e-05,18,0.015815473127164494,0.010168168741224476,0.0625,0.0625
freeman_tukey,10000,5,18,0.8795751633986928,0.7703159041394336,0.8299019607843138,0.9254084967320261,0.6904125816993465,0.8500558278867102,0.4930555555555556,0.30000000000000004,0.10925925925925924,0.06661151960784309,0.15610089869281044,9.999000099990002e-05,18,0.021520588388267824,0.01364886766702832,0.0625,0.0625
freeman_tukey,20000,5,18,0.9150326797385622,0.7796023965141613,0.8745077614379085,0.9514705882352941,0.6943048747276688,0.864025054466231,0.5805555555555556,0.3532407407407407,0.13543028322440087,0.0816448801742919,0.19289215686274508,9.999000099990002e-05,17,0.030240339058786692,0.01810374514038266,0.0625,0.0625
freeman_tukey,50000,5,18,0.9665032679738561,0.8068355119825709,0.9412581699346405,0.9874183006535948,0.7223767701525053,0.8867395152505447,0.7902777777777779,0.4027777777777778,0.15966775599128535,0.09528730936819167,0.2275599128540305,9.999000099990002e-05,17,0.04837339723930643,0.026903313434664962,0.0625,0.0625
freeman_tukey,100000,5,18,0.9937908496732025,0.8290032679738563,0.9868464052287583,0.9990196078431374,0.7500272331154685,0.9028363289760347,0.9375,0.46064814814814814,0.16478758169934637,0.09414419934640515,0.23998093681917207,0.00019998000199980003,16,0.06802313220133441,0.03469709856833404,0.0625,0.0625
freeman_tukey,200000,5,18,1.0,0.8472766884531592,1.0,1.0,0.7724918300653596,0.9155807461873637,1.0,0.4986111111111111,0.15272331154684088,0.08441925381263608,0.22750816993464046,9.999000099990002e-05,17,0.09263879827938162,0.04302116179005534,0.0625,0.0625
freeman_tukey,400000,5,18,1.0,0.8583605664488017,1.0,1.0,0.7885886437908496,0.9210532407407409,1.0,0.5236111111111111,0.14163943355119826,0.07894675925925922,0.2114113562091504,9.999000099990002e-05,17,0.1190029706218156,0.050800039659650374,0.0625,0.0625
log2_cpm1,250,0,18,0.6047385620915032,0.5971132897603486,0.571813725490196,0.6380718954248366,0.5735566448801743,0.6221949891067537,0.09583333333333334,0.0949074074074074,0.007625272331154657,-0.019744689542483682,0.0343416394335511,0.5936406359364064,11,0.0020958753951197777,0.002056281442127393,1.0,0.0625
log2_cpm1,500,0,18,0.654656862745098,0.6356481481481482,0.6229575163398693,0.6866870915032679,0.6007618464052288,0.6703438180827888,0.13472222222222222,0.11342592592592592,0.01900871459694983,-0.004278322440087208,0.04229302832244,0.13288671132886712,13,0.0033943589791225297,0.0025047906996778875,0.1875,0.0625
log2_cpm1,1000,0,18,0.7062091503267974,0.6726307189542484,0.6656045751633987,0.7450980392156862,0.6375272331154683,0.7098046023965141,0.15833333333333333,0.1453703703703704,0.033578431372548984,0.006535266884531551,0.06293572984749454,0.033096690330966905,11,0.0036544454463079573,0.0025781725059114417,0.25,0.0625
log2_cpm1,2000,0,18,0.7514705882352941,0.7061546840958606,0.7084926470588234,0.7959150326797386,0.6563174019607843,0.7565093954248366,0.17500000000000002,0.15185185185185185,0.04531590413943358,0.030092592592592633,0.06296296296296301,9.999000099990002e-05,18,0.0043446805640703365,0.00329777399318852,0.0625,0.0625
log2_cpm1,5000,0,18,0.8090686274509804,0.7395697167755991,0.7640502450980392,0.8498366013071895,0.6837118736383443,0.7969247004357298,0.23333333333333328,0.1814814814814815,0.06949891067538122,0.041966230936819136,0.09992034313725487,0.00039996000399960006,16,0.006048833820669721,0.0039687287362138775,0.1875,0.0625
log2_cpm1,10000,0,18,0.8461601307189541,0.7600490196078432,0.8007332516339869,0.8866053921568626,0.7003499455337691,0.8197167755991285,0.336111111111111,0.21481481481481482,0.08611111111111112,0.05498366013071901,0.12135076252723315,9.999000099990002e-05,18,0.008146960237125224,0.004910810988961635,0.0625,0.0625
log2_cpm1,20000,0,18,0.8843954248366014,0.7751089324618736,0.838153594771242,0.923937908496732,0.708141339869281,0.840305010893246,0.4444444444444444,0.25416666666666665,0.1092864923747277,0.07020629084967318,0.15389433551198262,9.999000099990002e-05,18,0.012456600024879232,0.006385552803686722,0.0625,0.0625
log2_cpm1,50000,0,18,0.9336601307189544,0.795288671023965,0.8837377450980392,0.9723856209150326,0.7267143246187363,0.8602416938997821,0.6513888888888888,0.2740740740740741,0.13837145969498912,0.09531590413943355,0.18676470588235294,9.999000099990002e-05,17,0.021743556238637128,0.009818764835102372,0.0625,0.0625
log2_cpm1,100000,0,18,0.9651960784313727,0.8146786492374729,0.9305555555555556,0.9910130718954249,0.7404936002178651,0.8818089596949892,0.7944444444444446,0.32175925925925924,0.1505174291938998,0.10021718409586051,0.20596609477124184,9.999000099990002e-05,17,0.033275822700227005,0.01406608736538421,0.0625,0.0625
log2_cpm1,200000,0,18,0.9875000000000002,0.8431917211328978,0.9699346405228757,0.9993464052287582,0.770150462962963,0.9065699891067538,0.9138888888888889,0.38796296296296295,0.14430827886710237,0.08984136710239651,0.20490196078431377,9.999000099990002e-05,16,0.04999783330642391,0.02023907978822409,0.0625,0.0625
log2_cpm1,400000,0,18,0.9996732026143792,0.8711328976034859,0.9991013071895425,1.0,0.8034824346405228,0.9278867102396515,0.9944444444444446,0.4550925925925926,0.12854030501089322,0.07211124727668841,0.19594498910675381,9.999000099990002e-05,16,0.07059740719352878,0.026455117262112155,0.0625,0.0625
log2_cpm1,250,1,18,0.5913398692810458,0.5780228758169934,0.5598835784313725,0.6241830065359477,0.5523686002178648,0.6038956971677559,0.08749999999999998,0.08796296296296297,0.013316993464052308,-0.011574074074074058,0.0386458333333333,0.3154684531546845,11,0.001852607602580239,0.001117312354757556,0.4375,0.0625
log2_cpm1,500,1,18,0.649673202614379,0.6234477124183005,0.6151123366013073,0.6833333333333333,0.5912574891067538,0.6575435729847495,0.10416666666666666,0.10138888888888888,0.02622549019607845,0.005445942265795226,0.04782135076252724,0.031996800319968,11,0.002983509789132156,0.002033320832778479,0.1875,0.0625
log2_cpm1,1000,1,18,0.6864379084967321,0.6525871459694988,0.6508169934640522,0.7227144607843138,0.6084402233115468,0.6991564542483661,0.15555555555555556,0.13194444444444445,0.03385076252723309,0.012608932461873619,0.05618259803921567,0.008399160083991601,15,0.003746311568869168,0.002824728008635349,0.0625,0.0625
log2_cpm1,2000,1,18,0.7167483660130718,0.6914760348583877,0.6586601307189542,0.7754901960784313,0.6332781862745097,0.7498107298474944,0.19722222222222224,0.15046296296296294,0.025272331154684118,0.0021514161220043924,0.050081699346405245,0.061193880611938804,15,0.004945496930143342,0.0031249006184729785,0.0625,0.0625
log2_cpm1,5000,1,18,0.7680555555555555,0.7085239651416121,0.7142156862745098,0.8225490196078431,0.6395132080610021,0.7797943899782135,0.20694444444444443,0.17546296296296296,0.05953159041394337,0.032244008714596956,0.09114923747276686,0.00019998000199980003,14,0.005892183060571102,0.003855890675772778,0.0625,0.0625
