perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"darolutamide|5.0",True,False,False,951.053,2421.67
"decitabine|0.05",True,False,False,-217.949,1208.32
"decitabine|0.5",True,False,False,-315.926,896.67
"decitabine|5.0",True,False,False,34.574,1704.59
"delamanid|0.05",False,False,False,85.4286,1444.34
"delamanid|0.5",False,False,False,164.673,1727.94
"delamanid|5.0",False,False,False,-58.5839,1718.64
"demeclocycline|0.05",True,False,False,-150.722,1056.11
"demeclocycline|0.5",True,False,False,198.593,3319.61
"demeclocycline|5.0",True,False,False,247.771,1733.56
"dexamethasone|0.05",False,False,False,602.394,3462.21
"dexamethasone|0.5",False,False,False,983.871,3656.24
"dexamethasone|5.0",True,False,False,22.6115,2056.98
"dexmedetomidine|0.05",True,False,False,1313.96,5247.36
"dexmedetomidine|0.5",True,False,False,852.281,6075.68
"dexmedetomidine|5.0",True,False,False,3046.71,10015.5
"diammonium glycyrrhizinate|0.05",True,False,False,186.572,2352.7
"diammonium glycyrrhizinate|0.5",True,False,False,126.417,2403.17
"diammonium glycyrrhizinate|5.0",True,False,False,108.714,1568.23
"digitoxin|0.05",True,False,False,-70.7789,1976.27
"digitoxin|0.5",True,False,False,-85.2575,1017.65
"digitoxin|5.0",True,False,False,-228.57,437.72
"dihydroartemisinin|0.05",True,False,False,-124.654,1322.42
"dihydroartemisinin|0.5",True,False,False,7.27963,2176.97
"dihydroartemisinin|5.0",True,False,False,379.232,1912.46
"dimethyl fumarate|0.05",True,False,False,-371.745,1128.35
"dimethyl fumarate|0.5",False,False,False,-199.817,1182.84
"dimethyl fumarate|5.0",True,False,False,663.522,4456.48
"dinaciclib|0.05",True,False,False,465.793,1747.38
"dinaciclib|0.5",True,False,False,751.684,3419.27
"dinaciclib|5.0",True,False,False,1611.5,2891.86
"diphenhydramine|0.05",True,False,False,335.582,3959.16
"diphenhydramine|0.5",True,False,False,2051.43,7072.56
"diphenhydramine|5.0",True,False,False,728.984,2471.75
"docetaxel|0.05",True,False,False,-263.748,848.775
"docetaxel|0.5",False,False,False,-174.709,910.192
"docetaxel|5.0",True,False,False,432.235,1174.7
"dorzolamide|0.05",True,False,False,329.573,3151.15
"dorzolamide|0.5",False,False,False,-37.0998,1733.64
"dorzolamide|5.0",True,False,False,321.704,2236.91
"doxorubicin|0.05",True,False,False,114.524,1987.73
"doxorubicin|0.5",True,False,False,401.051,1821.73
"doxorubicin|5.0",True,False,False,1246.14,9817.74
"doxycycline|0.05",True,False,False,639.591,3181.11
"doxycycline|0.5",True,False,False,-251.888,1238.89
"doxycycline|5.0",True,False,False,81.2463,1624.01
"drospirenone|0.05",False,False,False,95.1765,1433.08
"drospirenone|0.5",True,False,False,-36.9474,1507.9
"drospirenone|5.0",True,False,False,974.966,2858.9
"dt-061|0.05",False,False,False,980.515,6558.12
"dt-061|0.5",False,False,False,343.076,1472.7
"dt-061|5.0",True,False,False,-499.342,398.147
"dtp3|0.05",True,False,False,2086.31,7210.55
"dtp3|0.5",False,False,False,288.646,2027.62
"dtp3|5.0",True,False,False,-474.47,491.195
"econazole|0.05",False,False,False,173.852,2291.03
"econazole|0.5",False,False,False,202.326,2074.26
"econazole|5.0",True,False,False,1041.57,2300.1
"edoxaban|0.05",True,False,False,565.557,3299.92
"edoxaban|0.5",False,False,False,1067.69,6028.08
"edoxaban|5.0",True,False,False,808.386,3410.56
"elagolix sodium|0.05",True,False,False,149.299,2362.24
"elagolix sodium|0.5",True,False,False,-137.192,1191.95
"elagolix sodium|5.0",True,False,False,506.65,3703.17
"elimusertib hydrochloride|0.05",True,False,False,1275.7,5503.77
"elimusertib hydrochloride|0.5",True,False,False,241.125,4018.83
"elimusertib hydrochloride|5.0",True,False,False,-358.859,671.924
"encorafenib|0.05",False,False,False,52.6062,1253.32
"encorafenib|5.0",False,False,False,-104.419,1501.18
"entecavir|0.05",True,False,False,-396.885,440.234
"entecavir|0.5",True,False,False,-21.1974,2040.97
"entecavir|5.0",False,False,False,-100.663,1026.13
"entrectinib|0.05",True,False,False,261.206,2836.13
"entrectinib|0.5",True,False,False,-232.57,1100.82
