perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"Celecoxib | 10000.0",False,False,False,379.021,4085.04
"Cerdulatinib (PRT062070, PRT2070) | 10.0",False,False,False,68.1183,3418.78
"Cerdulatinib (PRT062070, PRT2070) | 100.0",False,False,False,808.152,7286.59
"Cerdulatinib (PRT062070, PRT2070) | 1000.0",False,False,False,619.165,2953.81
"Cerdulatinib (PRT062070, PRT2070) | 10000.0",False,False,False,4607.59,7860.53
"Cimetidine  | 10.0",False,False,False,-587.878,1156.65
"Cimetidine  | 100.0",False,False,False,-380.232,2907.83
"Cimetidine  | 1000.0",False,False,False,4241.49,12598
"Cimetidine  | 10000.0",False,False,False,-277.09,1822.32
"Clevudine  | 10.0",False,False,False,-560.002,2074.6
"Clevudine  | 100.0",False,False,False,-530.59,1977.45
"Clevudine  | 1000.0",False,False,False,680.708,5375.62
"Clevudine  | 10000.0",False,False,False,246.164,4853.48
"Costunolide | 10.0",False,False,False,1735.01,10043.6
"Costunolide | 100.0",False,False,False,1275.58,5292.74
"Costunolide | 1000.0",False,False,False,139.566,3411.11
"Costunolide | 10000.0",False,False,False,226.706,4005.5
"Crizotinib (PF-02341066) | 10.0",False,False,False,1830.9,8449.77
"Crizotinib (PF-02341066) | 100.0",False,False,False,-127.23,3650.71
"Curcumin | 10.0",False,False,False,389.074,5765.73
"Curcumin | 100.0",False,False,False,464.32,4474.1
"Curcumin | 1000.0",False,False,False,-350.74,1898.49
"Curcumin | 10000.0",False,False,False,-194.583,2118.03
"Cyclocytidine HCl | 10.0",True,False,False,1037.79,7985.81
"Cyclocytidine HCl | 100.0",False,False,False,1216.11,4577.72
"Cyclocytidine HCl | 1000.0",False,False,False,3140.94,9367.53
"Cyclocytidine HCl | 10000.0",False,False,False,2074.32,7751.52
"Daphnetin | 10.0",False,False,False,168.277,2966.73
"Daphnetin | 100.0",False,False,False,127.875,2295.21
"Daphnetin | 1000.0",False,False,False,-201.965,4861.45
"Daphnetin | 10000.0",False,False,False,-540.047,1338.05
"Decitabine | 10.0",False,False,False,4738.55,14708
"Decitabine | 100.0",False,False,False,40.8074,3118.17
"Decitabine | 1000.0",True,False,False,390.813,4017.53
"Decitabine | 10000.0",False,False,False,-290.658,3067.85
"Disulfiram  | 10.0",False,False,False,-297.821,2842.19
"Disulfiram  | 100.0",False,False,False,-293.816,2223.77
"Disulfiram  | 1000.0",False,False,False,4232.99,30136
"Disulfiram  | 10000.0",False,False,False,-728.401,951.856
"Divalproex Sodium | 10.0",False,False,False,327.944,6154.92
"Divalproex Sodium | 100.0",False,False,False,-261.571,3047.64
"Divalproex Sodium | 1000.0",False,False,False,-376.797,3266.87
"Divalproex Sodium | 10000.0",False,False,False,-476.812,2395.11
"Droxinostat | 10.0",False,False,False,440.685,4071.06
"Droxinostat | 100.0",False,False,False,689.17,3243.26
"Droxinostat | 1000.0",False,False,False,-623.847,1546.21
"Droxinostat | 10000.0",False,False,False,-616.159,912.533
"EED226 | 10.0",False,False,False,-234.361,2688.42
"EED226 | 100.0",False,False,False,-395.757,2881.02
"EED226 | 1000.0",False,False,False,-521.908,1808.72
"EED226 | 10000.0",False,False,False,823.494,8265.49
"ENMD-2076 | 10.0",False,False,False,-161.828,2872.43
"ENMD-2076 | 100.0",False,False,False,-687.291,2823.87
"ENMD-2076 L-(+)-Tartaric acid  | 10.0",False,False,False,517.769,3981.4
"ENMD-2076 L-(+)-Tartaric acid  | 100.0",False,False,False,-390.305,2623.59
"Ellagic acid | 10.0",False,False,False,-572.054,1736.95
"Ellagic acid | 100.0",False,False,False,-176.187,2094.3
"Ellagic acid | 1000.0",False,False,False,-644.112,1563.77
"Ellagic acid | 10000.0",False,False,False,-114.313,2846.53
"Entacapone | 10.0",False,False,False,1158.8,12295.1
"Entacapone | 100.0",False,False,False,429.975,3642.74
"Entacapone | 1000.0",False,False,False,1132.74,5798.84
"Entacapone | 10000.0",False,False,False,142.454,2797.77
"Entinostat (MS-275) | 10.0",False,False,False,1783.86,8346.09
"Entinostat (MS-275) | 100.0",False,False,False,624.456,4681.49
"Entinostat (MS-275) | 1000.0",False,False,False,837.983,5980.45
"Enzastaurin (LY317615) | 10.0",False,False,False,485.324,3821.62
"Enzastaurin (LY317615) | 100.0",False,False,False,90.8748,4392.09
"Enzastaurin (LY317615) | 1000.0",False,False,False,-61.637,4038.28
"FLLL32 | 10.0",False,False,False,-343.986,2353.44
"FLLL32 | 100.0",False,False,False,-74.9538,2725.44
"FLLL32 | 1000.0",False,False,False,156.06,2556.31
"Fasudil (HA-1077) HCl | 10.0",False,False,False,511.005,7643.22
"Fasudil (HA-1077) HCl | 100.0",False,False,False,-234.564,3803.18
"Fasudil (HA-1077) HCl | 1000.0",False,False,False,-268.121,3262.8
"Fasudil (HA-1077) HCl | 10000.0",False,False,False,-491.527,1546.92
"Fedratinib (SAR302503, TG101348) | 10.0",False,False,False,-169.552,2528.4
"Fedratinib (SAR302503, TG101348) | 1000.0",False,False,False,345.479,2238.56
"Filgotinib (GLPG0634) | 10.0",False,False,False,107.575,2798.08
"Filgotinib (GLPG0634) | 100.0",False,False,False,3268.5,15403.7
"Filgotinib (GLPG0634) | 1000.0",False,False,False,162.296,5570.41
"Filgotinib (GLPG0634) | 10000.0",False,False,False,235.041,4016.15
"Flavopiridol HCl | 10.0",False,False,False,-371.606,2810.66
"Fluorouracil (5-Fluoracil, 5-FU) | 10.0",False,False,False,167.438,2246.4
"Fluorouracil (5-Fluoracil, 5-FU) | 100.0",False,False,False,-412.806,1776.54
"Fluorouracil (5-Fluoracil, 5-FU) | 1000.0",False,False,False,2295.8,9635.52
"Fluorouracil (5-Fluoracil, 5-FU) | 10000.0",False,False,False,62.1993,3056.02
"Fulvestrant | 10.0",False,False,False,520.483,5553.06
"Fulvestrant | 100.0",False,False,False,-823.766,981.266
"Fulvestrant | 1000.0",False,False,False,632.484,4874.11
"Fulvestrant | 10000.0",False,False,False,826.983,4415.38
"G007-LK | 10.0",False,False,False,1717.04,8520.95
"G007-LK | 100.0",False,False,False,222.26,2766.69
"G007-LK | 1000.0",False,False,False,1190.77,7418.83
"G007-LK | 10000.0",False,False,False,176.394,2183.35
"GSK J1 | 10.0",False,False,False,283.567,2945.72
"GSK J1 | 100.0",False,False,False,903.97,5806.37
"GSK J1 | 1000.0",False,False,False,265.902,3516.99
"GSK J1 | 10000.0",False,False,False,1049.13,6232.4
"GSK-LSD1 2HCl | 10.0",False,False,False,-364.956,2887.72
"GSK-LSD1 2HCl | 100.0",False,False,False,-650.843,1042.38
"GSK-LSD1 2HCl | 1000.0",False,False,False,-288.471,2326.03
"GSK-LSD1 2HCl | 10000.0",False,False,False,-48.4582,3511.61
"GSK1070916 | 10.0",True,False,False,7064.01,16975.6
