perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"Costunolide | 100.0",False,False,False,-10031.4,23652.4
"Costunolide | 1000.0",False,False,False,6802.63,69488.6
"Costunolide | 10000.0",False,False,False,12648.9,75135.5
"Crizotinib (PF-02341066) | 10.0",False,False,False,47268.4,209015
"Crizotinib (PF-02341066) | 100.0",False,False,False,41794.8,183307
"Crizotinib (PF-02341066) | 1000.0",False,False,False,33865.2,150885
"Crizotinib (PF-02341066) | 10000.0",False,False,False,17336.8,84976.7
"Curcumin | 10.0",False,False,False,30953,75336.7
"Curcumin | 100.0",False,False,False,-2289.94,53633
"Curcumin | 1000.0",False,False,False,3133.11,37138.7
"Curcumin | 10000.0",False,False,False,4213.03,81478.8
"Cyclocytidine HCl | 10.0",False,False,False,7733.66,33005
"Cyclocytidine HCl | 100.0",False,False,False,5405.15,74726.8
"Cyclocytidine HCl | 1000.0",False,False,False,10283.8,49634.7
"Cyclocytidine HCl | 10000.0",False,False,False,709.239,33706.2
"Dacinostat (LAQ824) | 10.0",False,False,False,-7389.7,20196.1
"Dacinostat (LAQ824) | 100.0",False,False,False,-10661.1,21387.5
"Dacinostat (LAQ824) | 1000.0",False,False,False,-9203.75,28859.4
"Dacinostat (LAQ824) | 10000.0",False,False,False,-3463.41,72321
"Danusertib (PHA-739358) | 10.0",False,False,False,9687.34,73795.7
"Danusertib (PHA-739358) | 100.0",False,False,False,6674.28,64842.1
"Danusertib (PHA-739358) | 1000.0",False,False,False,75316.1,264336
"Danusertib (PHA-739358) | 10000.0",False,False,False,47975.3,218479
"Daphnetin | 10.0",False,False,False,12897.7,103419
"Daphnetin | 100.0",False,False,False,738.744,33611.6
"Daphnetin | 1000.0",False,False,False,2391.87,65367.6
"Daphnetin | 10000.0",False,False,False,14194.2,67903.4
"Dasatinib | 10.0",False,False,False,40213.6,192124
"Dasatinib | 100.0",True,False,False,66033.2,360780
"Dasatinib | 1000.0",False,False,False,6360.8,91986.2
"Dasatinib | 10000.0",False,False,False,16425.9,76210.6
"Decitabine | 10.0",False,False,False,10659,123730
"Decitabine | 100.0",False,False,False,-5171.35,32960.9
"Decitabine | 1000.0",False,False,False,5653.06,39220.4
"Decitabine | 10000.0",False,False,False,-7509.19,25291.2
"Disulfiram  | 10.0",False,False,False,26637.5,85054.4
"Disulfiram  | 100.0",False,False,False,20398.7,70677.3
"Disulfiram  | 1000.0",True,False,False,-624.106,34675.5
"Disulfiram  | 10000.0",False,False,False,-7597.58,26365.8
"Divalproex Sodium | 10.0",True,False,False,-9543.59,38607.8
"Divalproex Sodium | 100.0",False,False,False,-1654.56,33218.1
"Divalproex Sodium | 1000.0",False,False,False,-2948.67,50158
"Divalproex Sodium | 10000.0",False,False,False,1887.02,41376.4
"Droxinostat | 10.0",False,False,False,-707.671,67539.4
"Droxinostat | 100.0",False,False,False,3990.37,76213.2
"Droxinostat | 1000.0",False,False,False,-2341.71,60019.9
"Droxinostat | 10000.0",False,False,False,9939.46,60928.8
"EED226 | 10.0",False,False,False,367.542,28812.8
"EED226 | 100.0",False,False,False,-8875.35,18126.6
"EED226 | 1000.0",False,False,False,-6849.62,34371.9
"EED226 | 10000.0",False,False,False,4640.56,63683.2
"ENMD-2076 | 10.0",False,False,False,2895.39,52330.4
"ENMD-2076 | 100.0",False,False,False,-9226.49,38780
"ENMD-2076 | 1000.0",False,False,False,13779.2,75441.8
"ENMD-2076 | 10000.0",False,False,False,115884,250865
"ENMD-2076 L-(+)-Tartaric acid  | 10.0",False,False,False,10983.8,113355
"ENMD-2076 L-(+)-Tartaric acid  | 100.0",False,False,False,7862.08,94316.7
"ENMD-2076 L-(+)-Tartaric acid  | 1000.0",False,False,False,24680.6,82390.2
"ENMD-2076 L-(+)-Tartaric acid  | 10000.0",False,False,False,22738.2,107691
"Ellagic acid | 10.0",False,False,False,-1966.92,48614.2
"Ellagic acid | 100.0",False,False,False,12657.7,76134.9
"Ellagic acid | 1000.0",False,False,False,-3363,45102.6
"Ellagic acid | 10000.0",False,False,False,-3009.46,43264.9
