perturbation,native_rankable,native_n_work,native_n_cells,matched50_rankable,matched50_n_work,matched50_n_cells,dataset,native_unrankable,matched50_unrankable
SMN2,True,100,319,True,50,319,Replogle,0,0
SMU1,True,50,155,True,50,155,Replogle,0,0
SNAPC3,True,100,212,True,50,212,Replogle,0,0
SNAPC4,False,50,104,False,50,104,Replogle,1,1
SNAPC5,False,50,102,False,50,102,Replogle,1,1
SNF8,False,50,132,False,50,132,Replogle,1,1
SNRNP200,True,50,169,True,50,169,Replogle,0,0
SNRNP25,True,50,135,True,50,135,Replogle,0,0
SNRNP35,True,50,168,True,50,168,Replogle,0,0
SNRNP40,False,100,210,False,50,210,Replogle,1,1
SNRNP48,True,50,191,True,50,191,Replogle,0,0
SNRNP70,True,50,129,True,50,129,Replogle,0,0
SNRPA1,True,50,159,True,50,159,Replogle,0,0
SNRPB,True,100,269,True,50,269,Replogle,0,0
SNRPD1,True,50,146,True,50,146,Replogle,0,0
SNRPD3,True,50,182,True,50,182,Replogle,0,0
SNRPE,True,50,184,True,50,184,Replogle,0,0
SNRPF,True,50,130,True,50,130,Replogle,0,0
SNRPG,True,200,402,True,50,402,Replogle,0,0
SNUPN,False,50,139,False,50,139,Replogle,1,1
SNW1,False,100,226,False,50,226,Replogle,1,1
SNX15,True,200,637,False,50,637,Replogle,0,1
SOD1,False,50,165,False,50,165,Replogle,1,1
SOD2,False,50,198,False,50,198,Replogle,1,1
SON,True,200,515,True,50,515,Replogle,0,0
SP2,False,50,118,False,50,118,Replogle,1,1
SPATA5L1,False,50,150,False,50,150,Replogle,1,1
SPC25,True,50,199,True,50,199,Replogle,0,0
SPCS2,False,50,122,False,50,122,Replogle,1,1
SPCS3,False,50,167,False,50,167,Replogle,1,1
SPDYE2,False,50,182,False,50,182,Replogle,1,1
SPRTN,False,50,139,False,50,139,Replogle,1,1
SPTSSA,False,50,124,False,50,124,Replogle,1,1
SRBD1,False,50,150,False,50,150,Replogle,1,1
SRCAP,False,50,194,False,50,194,Replogle,1,1
SRF,False,50,123,False,50,123,Replogle,1,1
SRP14,True,50,132,True,50,132,Replogle,0,0
SRP19,False,50,124,False,50,124,Replogle,1,1
SRP68,True,50,171,True,50,171,Replogle,0,0
SRP72,False,100,224,False,50,224,Replogle,1,1
SRP9,True,50,168,True,50,168,Replogle,0,0
SRPRB,False,50,164,False,50,164,Replogle,1,1
SRRM1,True,50,180,True,50,180,Replogle,0,0
SRRM2,True,50,173,True,50,173,Replogle,0,0
SRRT,True,100,307,True,50,307,Replogle,0,0
SRSF1,True,50,159,True,50,159,Replogle,0,0
SRSF10,False,50,133,False,50,133,Replogle,1,1
SRSF11,False,200,437,False,50,437,Replogle,1,1
SRSF6,False,100,231,False,50,231,Replogle,1,1
SRSF7,True,50,118,True,50,118,Replogle,0,0
SS18L2,False,50,144,False,50,144,Replogle,1,1
SSBP1,True,50,119,True,50,119,Replogle,0,0
SSBP3,False,50,107,False,50,107,Replogle,1,1
SSRP1,True,200,562,True,50,562,Replogle,0,0
SSX4,False,50,101,False,50,101,Replogle,1,1
STARD7,True,50,117,True,50,117,Replogle,0,0
STAT5A,False,100,204,False,50,204,Replogle,1,1
STIL,False,50,171,False,50,171,Replogle,1,1
STRAP,True,50,106,True,50,106,Replogle,0,0
STRIP1,False,50,107,False,50,107,Replogle,1,1
SUGP1,True,50,149,True,50,149,Replogle,0,0
SUGT1,True,50,107,True,50,107,Replogle,0,0
SUPT5H,True,200,406,True,50,406,Replogle,0,0
SUPT6H,True,100,288,True,50,288,Replogle,0,0
SURF6,True,50,130,True,50,130,Replogle,0,0
TACC3,False,50,132,False,50,132,Replogle,1,1
TADA3,False,50,150,False,50,150,Replogle,1,1
TAF1C,True,50,134,True,50,134,Replogle,0,0
TAF1D,True,50,141,True,50,141,Replogle,0,0
TAF2,True,50,144,True,50,144,Replogle,0,0
TAF6,True,50,113,True,50,113,Replogle,0,0
TAF8,True,50,110,True,50,110,Replogle,0,0
TAMM41,False,50,120,False,50,120,Replogle,1,1
TARDBP,False,50,169,False,50,169,Replogle,1,1
TARS,True,50,132,True,50,132,Replogle,0,0
TBCA,False,50,179,False,50,179,Replogle,1,1
TBCB,True,50,102,True,50,102,Replogle,0,0
TBCC,False,50,141,False,50,141,Replogle,1,1
TBCE,False,50,129,False,50,129,Replogle,1,1
TBP,True,50,151,True,50,151,Replogle,0,0
TCERG1,True,50,105,True,50,105,Replogle,0,0
TDGF1,False,50,106,False,50,106,Replogle,1,1
TEAD3,False,100,267,False,50,267,Replogle,1,1
TEFM,True,100,203,True,50,203,Replogle,0,0
TEX10,True,50,162,True,50,162,Replogle,0,0
TFB2M,False,50,162,False,50,162,Replogle,1,1
TFDP1,True,50,163,True,50,163,Replogle,0,0
TGS1,False,50,161,False,50,161,Replogle,1,1
THAP1,True,50,110,True,50,110,Replogle,0,0
THOC2,True,50,190,True,50,190,Replogle,0,0
THOC3,True,50,147,True,50,147,Replogle,0,0
