dataset,fpr,tpr,threshold
Replogle,0.1539980256663376,0.9572649572649573,0.33589983413650304
Replogle,0.1539980256663376,0.9597069597069597,0.33531532255965457
Replogle,0.15992102665350444,0.9597069597069597,0.3333783239639566
Replogle,0.15992102665350444,0.960927960927961,0.33258334632429404
Replogle,0.16288252714708787,0.960927960927961,0.3321980818689105
Replogle,0.16288252714708787,0.9621489621489622,0.33205917778740884
Replogle,0.1727541954590326,0.9621489621489622,0.32860762722736825
Replogle,0.1727541954590326,0.9633699633699634,0.3285594279814126
Replogle,0.17670286278381048,0.9633699633699634,0.32662911206202794
Replogle,0.17670286278381048,0.9645909645909646,0.3265005269557333
Replogle,0.17966436327739388,0.9645909645909646,0.325995857403656
Replogle,0.17966436327739388,0.9658119658119658,0.325371990778434
Replogle,0.18065153010858837,0.9658119658119658,0.32455326556656294
Replogle,0.18065153010858837,0.967032967032967,0.3241055941218841
Replogle,0.1855873642645607,0.967032967032967,0.3221857534114295
Replogle,0.1855873642645607,0.9694749694749695,0.32134826915346965
Replogle,0.18657453109575517,0.9694749694749695,0.3207479092059562
Replogle,0.18657453109575517,0.9706959706959707,0.320424847020255
Replogle,0.192497532082922,0.9706959706959707,0.3185192145928551
Replogle,0.192497532082922,0.9719169719169719,0.3182230613486388
Replogle,0.19447186574531095,0.9719169719169719,0.3173598752963002
Replogle,0.19447186574531095,0.9731379731379731,0.31688576558432346
Replogle,0.19545903257650543,0.9731379731379731,0.31585991455240364
Replogle,0.19545903257650543,0.9743589743589743,0.31570091569066716
Replogle,0.20039486673247778,0.9743589743589743,0.31516263035780107
Replogle,0.20039486673247778,0.9755799755799756,0.3149511950057589
Replogle,0.21322803553800593,0.9755799755799756,0.31085041035065963
Replogle,0.21322803553800593,0.9768009768009768,0.3101975949374212
Replogle,0.22211253701875616,0.9768009768009768,0.3075205925964652
Replogle,0.22211253701875616,0.978021978021978,0.3073732262063888
Replogle,0.23099703849950642,0.978021978021978,0.3057388691532102
Replogle,0.23099703849950642,0.9792429792429792,0.3055181065432781
Replogle,0.23395853899308983,0.9792429792429792,0.3053257719452808
Replogle,0.23395853899308983,0.9804639804639804,0.3051313715174468
Replogle,0.24383020730503455,0.9804639804639804,0.30140017371559275
Replogle,0.24383020730503455,0.9816849816849816,0.3010964245766683
Replogle,0.26061204343534056,0.9816849816849816,0.2991540506687844
Replogle,0.26061204343534056,0.9841269841269841,0.2989536033309813
Replogle,0.29417571569595263,0.9841269841269841,0.28995886856225633
Replogle,0.29417571569595263,0.9853479853479854,0.2898658900598204
Replogle,0.29615004935834155,0.9853479853479854,0.2897143131101255
Replogle,0.29615004935834155,0.9865689865689866,0.2893249537653888
Replogle,0.2981243830207305,0.9865689865689866,0.28886745868888697
Replogle,0.2981243830207305,0.989010989010989,0.2881809785788684
Replogle,0.3089832181638697,0.989010989010989,0.28685738837631797
Replogle,0.3089832181638697,0.9902319902319903,0.28669834541264944
Replogle,0.3366238894373149,0.9902319902319903,0.27899276552671043
Replogle,0.3366238894373149,0.9914529914529915,0.2788605896629609
Replogle,0.3376110562685094,0.9914529914529915,0.27873376986169107
Replogle,0.3376110562685094,0.9926739926739927,0.27872378822995253
Replogle,0.3543928923988154,0.9926739926739927,0.2750690927192013
Replogle,0.3543928923988154,0.9938949938949939,0.27494334789303143
Replogle,0.36229022704837116,0.9938949938949939,0.27238064116802435
Replogle,0.36229022704837116,0.9951159951159951,0.27207928046196755
Replogle,0.3889437314906219,0.9951159951159951,0.2659079099830592
Replogle,0.3889437314906219,0.9963369963369964,0.26566933148752997
Replogle,0.40868706811451133,0.9963369963369964,0.2609525742914272
Replogle,0.40868706811451133,0.9975579975579976,0.2607814119543493
Replogle,0.46692991115498517,0.9975579975579976,0.2485070149883963
Replogle,0.46692991115498517,0.9987789987789988,0.24846146941703082
Replogle,0.6850937808489634,0.9987789987789988,0.20808508853143484
Replogle,0.6850937808489634,1.0,0.20798578099609533
Replogle,1.0,1.0,0.11650493223347104
Norman,0.0,0.0,1.9833739393983933
Norman,0.0,0.0043859649122807015,0.9833739393983933
Norman,0.0,0.6622807017543859,0.47202798207351193
Norman,0.125,0.6622807017543859,0.4665579046068928
Norman,0.125,0.9035087719298246,0.11249897693400625
Norman,0.25,0.9035087719298246,0.099222618137787
Norman,0.25,0.9692982456140351,0.04410910496134529
Norman,0.375,0.9692982456140351,0.042880131349469865
Norman,0.375,0.9736842105263158,0.040916454734077345
Norman,0.625,0.9736842105263158,0.03678374286894411
Norman,0.625,0.9912280701754386,0.026133267663870655
Norman,0.75,0.9912280701754386,0.024497222462368795
Norman,0.75,0.9956140350877193,0.016941668806859465
Norman,0.875,0.9956140350877193,0.016699102167811095
Norman,0.875,1.0,0.003233221235754059
Norman,1.0,1.0,0.002007680552367803
Adamson,0.0,0.0,1.9682995649130572
Adamson,0.0,0.012195121951219513,0.9682995649130572
Adamson,0.0,0.6707317073170732,0.2834059535249849
Adamson,0.07142857142857142,0.6707317073170732,0.2701148248383784
Adamson,0.07142857142857142,0.7439024390243902,0.13859035652006382
Adamson,0.14285714285714285,0.7439024390243902,0.1201850579321148
