source,gene,depth_m,n_var,eta2,rho2,rho2_nn_median,rho2_nn_median_lo,rho2_nn_median_hi,rho2_nn_geomean,frac_above_noise,nn_nonpositive,ceiling_pds,p_correct,p_winner,eff_rank,rho2_target,rank,hetero
dialled,TP53,25,20,37.666,0.19646,0.04926,0.0282,0.05829,,0.715,1,0.6984,0.598,0.648,1.77,0.2,2.0,1.0
dialled,TP53,25,20,37.666,0.59344,0.08378,0.04215,0.11831,0.071562,0.795,0,0.7639,0.65,0.898,1.77,0.6,2.0,1.0
dialled,TP53,25,20,37.666,1.98468,0.10281,0.07568,0.18048,0.15126,0.81,0,0.8216,0.73,0.942,1.77,2.0,2.0,1.0
dialled,TP53,25,20,37.666,5.9625,0.27062,0.1468,0.56592,0.334751,0.89,0,0.8463,0.048,0.062,1.77,6.0,2.0,1.0
dialled,TP53,25,20,37.666,-0.00102,0.00211,-0.00865,0.00656,,0.45,9,0.4953,0.0,0.0,,0.0,2.0,2.0
dialled,TP53,25,20,37.666,0.04884,0.01449,0.00141,0.03126,,0.55,6,0.5758,0.07,0.136,1.48,0.05,2.0,2.0
dialled,TP53,25,20,37.666,0.19823,0.01938,0.00375,0.05113,,0.605,5,0.6305,0.234,0.658,1.48,0.2,2.0,2.0
dialled,TP53,25,20,37.666,0.5965,0.03937,0.02233,0.06603,,0.65,5,0.6668,0.808,0.96,1.48,0.6,2.0,2.0
dialled,TP53,25,20,37.666,1.99028,0.05711,0.01016,0.0912,,0.72,4,0.7118,0.71,0.966,1.48,2.0,2.0,2.0
dialled,TP53,25,20,37.666,5.9722,0.08303,0.02429,0.16325,,0.765,1,0.7484,0.78,0.858,1.48,6.0,2.0,2.0
dialled,TP53,25,20,37.666,-0.00102,0.00211,-0.00865,0.00656,,0.45,9,0.4953,0.0,0.0,,0.0,1.0,0.0
dialled,TP53,25,20,37.666,0.0479,0.01195,0.00631,0.02591,,0.56,4,0.6092,0.798,1.0,1.0,0.05,1.0,0.0
dialled,TP53,25,20,37.666,0.19635,0.02179,0.0053,0.03504,,0.585,4,0.7168,0.876,0.958,1.0,0.2,1.0,0.0
dialled,TP53,25,20,37.666,0.59326,0.03303,0.01078,0.05183,,0.585,4,0.7555,0.252,0.482,1.0,0.6,1.0,0.0
