gene,arm,method,K,n_var,pds,ci_lo,ci_hi
GATA1,hard,Ridge-esm+theta,25,172,0.474,0.44528,0.5024
GATA1,hard,Ridge-esm+theta,45,172,0.47276,0.44367,0.50264
GATA1,hard,Ridge-esm+theta,90,172,0.47454,0.44305,0.50433
GATA1,hard,Ridge-esm+theta,254,172,0.49825,0.46408,0.53195
GATA1,hard,Ridge-theta,5,172,0.48592,0.45938,0.51114
GATA1,hard,Ridge-theta,10,172,0.482,0.45491,0.50762
GATA1,hard,Ridge-theta,20,172,0.4749,0.44672,0.5032
GATA1,hard,Ridge-theta,25,172,0.47284,0.44337,0.49981
GATA1,hard,Ridge-theta,45,172,0.47163,0.44222,0.50082
GATA1,hard,Ridge-theta,90,172,0.47355,0.44174,0.50365
GATA1,hard,Ridge-theta,254,172,0.49756,0.46528,0.53024
GATA1,hard,WT-null,5,172,0.5,0.5,0.5
GATA1,hard,WT-null,10,172,0.5,0.5,0.5
GATA1,hard,WT-null,20,172,0.5,0.5,0.5
GATA1,hard,WT-null,25,172,0.5,0.5,0.5
GATA1,hard,WT-null,45,172,0.5,0.5,0.5
GATA1,hard,WT-null,90,172,0.5,0.5,0.5
GATA1,hard,WT-null,254,172,0.5,0.5,0.5
GATA1,hard,scGen,5,172,0.51066,0.48309,0.53667
GATA1,hard,scGen,10,172,0.5096,0.48095,0.53695
GATA1,hard,scGen,20,172,0.51573,0.48618,0.54573
GATA1,hard,scGen,25,172,0.51667,0.4861,0.5464
GATA1,hard,scGen,45,172,0.51764,0.48841,0.5465
GATA1,hard,scGen,90,172,0.51412,0.48336,0.54518
GATA1,hard,scGen,254,172,0.49251,0.4593,0.5252
GATA1,hard,scVIDR,5,172,0.51061,0.48482,0.53784
GATA1,hard,scVIDR,10,172,0.50954,0.48222,0.53756
GATA1,hard,scVIDR,20,172,0.51634,0.48837,0.54431
GATA1,hard,scVIDR,25,172,0.51721,0.48791,0.54618
GATA1,hard,scVIDR,45,172,0.51833,0.48829,0.54877
GATA1,hard,scVIDR,90,172,0.51514,0.48431,0.54611
GATA1,hard,scVIDR,254,172,0.49415,0.46133,0.52621
GATA1,hard,split-half measurement,5,172,0.49525,0.47121,0.52103
GATA1,hard,split-half measurement,10,172,0.5084,0.4835,0.53355
GATA1,hard,split-half measurement,20,172,0.5149,0.48768,0.53963
GATA1,hard,split-half measurement,25,172,0.51871,0.49266,0.54513
GATA1,hard,split-half measurement,45,172,0.52573,0.4988,0.55296
GATA1,hard,split-half measurement,90,172,0.54038,0.51355,0.56801
GATA1,hard,split-half measurement,254,172,0.57763,0.55075,0.60458
GATA1,random,Biolord,5,172,0.48447,0.4438,0.52216
GATA1,random,Biolord,10,172,0.48511,0.44673,0.52275
GATA1,random,Biolord,20,172,0.48484,0.44472,0.52333
GATA1,random,Biolord,25,172,0.48488,0.44673,0.52429
GATA1,random,Biolord,45,172,0.48493,0.44738,0.52327
GATA1,random,Biolord,90,172,0.48499,0.45017,0.52508
GATA1,random,Biolord,254,172,0.48485,0.44937,0.52621
GATA1,random,CellFlow,5,172,0.47455,0.43885,0.51026
GATA1,random,CellFlow,10,172,0.47526,0.4385,0.51092
GATA1,random,CellFlow,20,172,0.47521,0.43744,0.51173
GATA1,random,CellFlow,25,172,0.47548,0.44014,0.51369
GATA1,random,CellFlow,45,172,0.47521,0.43753,0.51184
GATA1,random,CellFlow,90,172,0.47506,0.43779,0.51029
GATA1,random,CellFlow,254,172,0.47516,0.43857,0.51218
GATA1,random,GBoost-esm,5,172,0.50279,0.46473,0.5397
GATA1,random,GBoost-esm,10,172,0.50134,0.46047,0.54085
