perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"bergenin|5.0",False,False,False,606.759,4567.2
"bestatin|0.05",True,False,False,-307.406,2189.55
"bestatin|0.5",False,False,False,3276.89,16137.6
"bestatin|5.0",True,False,False,2606.04,8393.96
"betamethasone dipropionate|0.05",True,False,False,-564.709,2160.85
"betamethasone dipropionate|0.5",True,False,False,838.181,6188.61
"betamethasone dipropionate|5.0",True,False,False,-487.288,873.984
"bexarotene|0.05",False,False,False,2156.87,10649.7
"bexarotene|0.5",True,False,False,778.933,6166.63
"bexarotene|5.0",True,False,False,6434.91,19246.4
"bi-3406|0.05",True,False,False,608.995,4333.8
"bi-3406|0.5",True,False,False,3954.84,8664.36
"bi-3406|5.0",True,False,False,-420.554,1766.45
"bi-78d3|0.05",True,False,False,945.037,5103.26
"bi-78d3|0.5",True,False,False,-252.38,2234.57
"bi-78d3|5.0",True,False,False,257.031,4401.4
"bicalutamide|0.05",True,False,False,2978.9,11274.5
"bicalutamide|0.5",False,False,False,118.516,3360.53
"bicalutamide|5.0",True,False,False,3526.93,14606.5
"bimatoprost|0.05",False,False,False,1435.6,5049.65
"bimatoprost|0.5",True,False,False,-173.501,4062.8
"bimatoprost|5.0",False,False,False,3843.32,10768.8
"bimiralisib|0.05",False,False,False,2840.83,8280.26
"bimiralisib|0.5",True,False,False,568.561,3292.13
"bimiralisib|5.0",False,False,False,2340.99,11851.5
"binimetinib|0.05",False,False,False,1458.84,9042.96
"binimetinib|0.5",False,False,False,2677.83,8843.64
"binimetinib|5.0",True,False,False,3244.82,11520
"bisoprolol|0.05",True,False,False,-863.126,1075.13
"bisoprolol|0.5",True,False,False,986.938,5660.17
"bisoprolol|5.0",True,False,False,320.499,2348.74
"bortezomib|0.05",True,False,False,5734.62,8939.8
"bortezomib|0.5",True,False,False,1952.39,5995.5
"bortezomib|5.0",True,False,False,478.813,3773.26
"bosentan|0.05",True,False,False,959.562,3532.21
"bosentan|0.5",True,False,False,375.795,5173.52
"bosentan|5.0",False,False,False,1426.52,6379.74
"brimonidine|0.05",False,False,False,899.508,7545.65
"brimonidine|0.5",True,False,False,-174.346,4501.77
"brimonidine|5.0",False,False,False,1092.23,5033.95
"brivudine|0.05",True,False,False,-253.306,2904.91
"brivudine|0.5",True,False,False,-647.627,1538.8
"brivudine|5.0",True,False,False,49.1977,2178.14
"budesonide|0.05",True,False,False,698.666,5008.5
"budesonide|0.5",True,False,False,2470.32,7983.58
"budesonide|5.0",True,False,False,10231.6,18184.5
"busulfan|0.05",True,False,False,-164.574,2761.54
"busulfan|0.5",True,False,False,1623.09,7122.95
"busulfan|5.0",True,False,False,1850.22,7080.86
"c-kit-in-1|0.05",False,False,False,2628.32,7700.33
"c-kit-in-1|0.5",True,False,False,6872.96,19398.7
"c-kit-in-1|5.0",True,False,False,-582.378,755.63
"cabozantinib|0.05",True,False,False,1566.13,10253.2
"cabozantinib|0.5",True,False,False,1875.08,8859.28
"cabozantinib|5.0",False,False,False,1592.32,6669.95
