perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"Busulfan  | 100.0",False,False,False,4197.98,58342.1
"Busulfan  | 1000.0",False,False,False,-1330.09,52274.8
"Busulfan  | 10000.0",False,False,False,-8979.82,20077.8
"CEP-33779 | 10.0",False,False,False,-7628.28,35912.7
"CEP-33779 | 100.0",False,False,False,-3395.74,31995.9
"CEP-33779 | 1000.0",False,False,False,-10800.8,22962.6
"CEP-33779 | 10000.0",False,False,False,7864.07,49744.4
"CUDC-101 | 10.0",False,False,False,19521.9,118497
"CUDC-101 | 100.0",False,False,False,-8605.32,29614.8
"CUDC-101 | 1000.0",False,False,False,-5357.99,24399.7
"CUDC-101 | 10000.0",False,False,False,11950.9,107942
"CUDC-907 | 10.0",False,False,False,-3874.06,40266
"CUDC-907 | 100.0",False,False,False,-3519.55,33260.1
"CUDC-907 | 1000.0",False,False,False,-7826.52,18440.8
"CUDC-907 | 10000.0",True,False,False,4846.39,44871.9
"CYC116 | 10.0",False,False,False,-5832.79,36065.9
"CYC116 | 100.0",False,False,False,18460.9,175945
"CYC116 | 1000.0",False,False,False,-6977.34,19186.2
"CYC116 | 10000.0",False,False,False,42996.8,119886
"Capecitabine  | 10.0",False,False,False,-8475.54,46532.4
"Capecitabine  | 100.0",False,False,False,-9006.81,16427
"Capecitabine  | 1000.0",False,False,False,14779.4,133806
"Capecitabine  | 10000.0",False,False,False,-5047.16,33693.6
"Carmofur | 10.0",False,False,False,-391.251,37394.6
"Carmofur | 100.0",False,False,False,3672.67,68312.4
"Carmofur | 1000.0",False,False,False,4674.02,38803
"Carmofur | 10000.0",True,False,False,28322.1,87317
"Cediranib (AZD2171) | 10.0",False,False,False,5701.21,90124.8
"Cediranib (AZD2171) | 100.0",False,False,False,-995.486,33023.3
"Cediranib (AZD2171) | 1000.0",False,False,False,8302.67,78407.8
"Cediranib (AZD2171) | 10000.0",False,False,False,43668.1,167267
"Celecoxib | 10.0",False,False,False,-8683.24,28030.9
"Celecoxib | 100.0",False,False,False,3901.03,43802.2
"Celecoxib | 1000.0",False,False,False,-661.935,39558.4
"Celecoxib | 10000.0",False,False,False,12604.9,97444
"Cerdulatinib (PRT062070, PRT2070) | 10.0",False,False,False,-8688.14,36036.2
"Cerdulatinib (PRT062070, PRT2070) | 100.0",False,False,False,-6164.77,34300.2
"Cerdulatinib (PRT062070, PRT2070) | 1000.0",False,False,False,1416.08,59377.6
"Cerdulatinib (PRT062070, PRT2070) | 10000.0",True,False,False,17741.1,90728.6
"Cimetidine  | 10.0",False,False,False,25086,147654
"Cimetidine  | 100.0",False,False,False,8638.79,82483.5
"Cimetidine  | 1000.0",False,False,False,12892.7,96447.7
"Cimetidine  | 10000.0",True,False,False,91199.3,348618
"Clevudine  | 10.0",False,False,False,1467.14,54143.2
"Clevudine  | 100.0",False,False,False,-8407.89,23177.8
"Clevudine  | 1000.0",False,False,False,11939.2,65229
"Clevudine  | 10000.0",False,False,False,-5580.75,23754.5
"Costunolide | 10.0",False,False,False,-2676.03,37832.2
"Costunolide | 100.0",False,False,False,-10031.6,23652.8
"Costunolide | 1000.0",False,False,False,6802.79,69489.9
"Costunolide | 10000.0",False,False,False,12649.1,75136.6
"Crizotinib (PF-02341066) | 10.0",False,False,False,47268.9,209018
"Crizotinib (PF-02341066) | 100.0",False,False,False,41795.4,183310
"Crizotinib (PF-02341066) | 1000.0",False,False,False,33865.8,150888
"Crizotinib (PF-02341066) | 10000.0",False,False,False,17337.1,84978.3
"Curcumin | 10.0",False,False,False,30953.6,75338.2
"Curcumin | 100.0",False,False,False,-2289.96,53634
"Curcumin | 1000.0",False,False,False,3133.23,37139.4
"Curcumin | 10000.0",False,False,False,4213.13,81480.3
"Cyclocytidine HCl | 10.0",False,False,False,7733.78,33005.6
"Cyclocytidine HCl | 100.0",False,False,False,5405.26,74728.1
"Cyclocytidine HCl | 1000.0",False,False,False,10284,49635.6
"Cyclocytidine HCl | 10000.0",False,False,False,709.281,33706.9
"Dacinostat (LAQ824) | 10.0",False,False,False,-7389.75,20196.6
"Dacinostat (LAQ824) | 100.0",False,False,False,-10661.3,21387.9
"Dacinostat (LAQ824) | 1000.0",False,False,False,-9203.87,28860
"Dacinostat (LAQ824) | 10000.0",False,False,False,-3463.47,72322.2
"Danusertib (PHA-739358) | 10.0",False,False,False,9687.58,73797.2
"Danusertib (PHA-739358) | 100.0",False,False,False,6674.44,64843.3
"Danusertib (PHA-739358) | 1000.0",False,False,False,75317.5,264340
"Danusertib (PHA-739358) | 10000.0",False,False,False,47976.1,218483
"Daphnetin | 10.0",False,False,False,12897.9,103420
"Daphnetin | 100.0",False,False,False,738.772,33612.2
"Daphnetin | 1000.0",False,False,False,2391.97,65368.9
"Daphnetin | 10000.0",False,False,False,14194.5,67904.7
"Dasatinib | 10.0",False,False,False,40214.2,192127
"Dasatinib | 100.0",True,False,False,66034.5,360786
"Dasatinib | 1000.0",False,False,False,6360.9,91987.5
"Dasatinib | 10000.0",False,False,False,16426.2,76211.7
"Decitabine | 10.0",False,False,False,10659.2,123732
"Decitabine | 100.0",False,False,False,-5171.41,32961.5
"Decitabine | 1000.0",False,False,False,5653.13,39220.9
"Decitabine | 10000.0",False,False,False,-7509.29,25291.6
"Disulfiram  | 10.0",False,False,False,26637.9,85055.7
"Disulfiram  | 100.0",False,False,False,20399,70678.6
