perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"Entacapone | 1000.0",False,False,False,-990.064,4321.19
"Entacapone | 10000.0",False,False,False,-1409.82,3499.81
"Entinostat (MS-275) | 10.0",False,False,False,-1698.39,2274.13
"Entinostat (MS-275) | 100.0",False,False,False,1315.03,18925.9
"Entinostat (MS-275) | 1000.0",False,False,False,-342.268,4714.91
"Entinostat (MS-275) | 10000.0",False,False,False,166.217,7485.2
"Enzastaurin (LY317615) | 10.0",False,False,False,-1804.23,2591.2
"Enzastaurin (LY317615) | 100.0",False,False,False,235.027,6887.08
"Enzastaurin (LY317615) | 1000.0",False,False,False,-1213.29,4707.97
"Enzastaurin (LY317615) | 10000.0",False,False,False,-507.195,4649.52
"Fasudil (HA-1077) HCl | 100.0",False,False,False,722.837,7132.17
"Fasudil (HA-1077) HCl | 10000.0",False,False,False,2359.54,9791.82
"Fedratinib (SAR302503, TG101348) | 10.0",False,False,False,3542.96,26929.1
"Fedratinib (SAR302503, TG101348) | 100.0",False,False,False,-539.86,4382.9
"Filgotinib (GLPG0634) | 10.0",False,False,False,-89.989,7427.96
"Filgotinib (GLPG0634) | 100.0",False,False,False,1637.72,16668.8
"Filgotinib (GLPG0634) | 1000.0",False,False,False,-1106.48,6133.79
"Filgotinib (GLPG0634) | 10000.0",False,False,False,909.297,11462.2
"Flavopiridol HCl | 10.0",True,False,False,4693.95,14176.2
"Fluorouracil (5-Fluoracil, 5-FU) | 10.0",False,False,False,3687.62,10821.1
"Fluorouracil (5-Fluoracil, 5-FU) | 100.0",False,False,False,-1599.24,2235.83
"Fluorouracil (5-Fluoracil, 5-FU) | 1000.0",False,False,False,3613.09,11359.1
"Fulvestrant | 10.0",False,False,False,-434.669,5100.81
"Fulvestrant | 100.0",False,False,False,864.856,10519.5
"Fulvestrant | 1000.0",False,False,False,-683.816,6890.43
"Fulvestrant | 10000.0",False,False,False,-1001.61,3986.49
"G007-LK | 10.0",False,False,False,5638.57,19242
"GSK J1 | 10.0",False,False,False,324.821,6712.96
"GSK J1 | 100.0",False,False,False,-1165.96,4064.28
"GSK J1 | 1000.0",False,False,False,-294.676,4536.92
"GSK J1 | 10000.0",False,False,False,-219.679,9236.72
"GSK-LSD1 2HCl | 10.0",False,False,False,180.197,3099.85
"GSK-LSD1 2HCl | 100.0",False,False,False,2549.2,22966.6
"GSK-LSD1 2HCl | 1000.0",False,False,False,5338.43,29538.1
"GSK-LSD1 2HCl | 10000.0",True,False,False,1590.55,6577.02
"Gandotinib (LY2784544) | 10.0",False,False,False,-208.888,5945.95
"Gandotinib (LY2784544) | 100.0",False,False,False,-506.46,4616.18
"Gandotinib (LY2784544) | 1000.0",False,False,False,787.245,10986.6
"Givinostat (ITF2357) | 10.0",False,False,False,122.847,6393.13
"Givinostat (ITF2357) | 100.0",False,False,False,-738.268,5053.77
"Givinostat (ITF2357) | 1000.0",True,False,False,202.236,5881.89
"Glesatinib?(MGCD265) | 10.0",False,False,False,-1346.82,3954.97
"Glesatinib?(MGCD265) | 100.0",False,False,False,1323.8,7168.51
"Glesatinib?(MGCD265) | 1000.0",False,False,False,-1663.11,2235.62
"INO-1001 (3-Aminobenzamide) | 100.0",False,False,False,-155.679,6137.91
"INO-1001 (3-Aminobenzamide) | 1000.0",False,False,False,-274.803,6614.57
"INO-1001 (3-Aminobenzamide) | 10000.0",False,False,False,1143.04,8131.31
"IOX2 | 10.0",False,False,False,-246.963,6994.43
"IOX2 | 100.0",False,False,False,2074.16,11451.1
"IOX2 | 1000.0",False,False,False,2880.15,12568.7
"IOX2 | 10000.0",False,False,False,925.36,8020.76
"ITSA-1 (ITSA1) | 10000.0",False,False,False,-673.714,4129.34
"Iniparib (BSI-201) | 1000.0",False,False,False,1254.56,14239
"Ivosidenib (AG-120) | 10.0",False,False,False,687.693,14599.2
"Ivosidenib (AG-120) | 100.0",False,False,False,-779.039,6268.59
"JNJ-26854165 (Serdemetan) | 10.0",False,False,False,1846.74,22024
"JNJ-26854165 (Serdemetan) | 100.0",False,False,False,-697.25,6593.35
"JNJ-26854165 (Serdemetan) | 1000.0",False,False,False,1286.55,11400
"JNJ-26854165 (Serdemetan) | 10000.0",False,False,False,-974.447,3422.41
"JNJ-7706621 | 100.0",False,False,False,3419.28,21557.8
"KW-2449 | 10.0",False,False,False,2609.96,21429.2
"KW-2449 | 100.0",False,False,False,-1199.95,3286.01
"Ki16425 | 10.0",False,False,False,-1112.25,4519.03
"Ki16425 | 100.0",False,False,False,-1439.26,4231.62
"Ki16425 | 1000.0",False,False,False,-619.639,4598.49
"Ki16425 | 10000.0",False,False,False,-16.4168,5810.75
"Ki8751 | 10.0",False,False,False,-807.461,4241.5
"Ki8751 | 100.0",False,False,False,-275.231,4483.35
"Ki8751 | 1000.0",False,False,False,-2066.56,2477.98
"Ki8751 | 10000.0",False,False,False,-654.71,8009.14
"Lapatinib (GW-572016) Ditosylate | 10.0",False,False,False,-1871.45,2444.7
"Lapatinib (GW-572016) Ditosylate | 100.0",False,False,False,-237.231,9959.84
"Lapatinib (GW-572016) Ditosylate | 1000.0",False,False,False,-800.018,4853.34
"Lenalidomide (CC-5013) | 10.0",False,False,False,1055.01,8309.05
"Lenalidomide (CC-5013) | 100.0",True,False,False,2948.67,12834
