method,split,gene,metric,n_test,obs_pds,null_mean,null_lo,null_hi,p_above_obs
KNN-esm,split3,KRAS,PDS_L1,10,0.5667,0.503,0.3556,0.6556,0.225
KNN-esm,split3,KRAS,PDS_L2,10,0.5333,0.4994,0.3556,0.6444,0.316
KNN-esm+theta,split3,KRAS,PDS_cos,10,0.5667,0.5014,0.3667,0.6333,0.204
KNN-esm+theta,split3,KRAS,PDS_L1,10,0.5778,0.4963,0.3667,0.6111,0.118
KNN-esm+theta,split3,KRAS,PDS_L2,10,0.5444,0.4995,0.3886,0.6222,0.267
MLP-theta,split3,KRAS,PDS_cos,10,0.5,0.5,0.4556,0.5444,0.52
MLP-theta,split3,KRAS,PDS_L1,10,0.4889,0.5005,0.4778,0.5222,0.891
MLP-theta,split3,KRAS,PDS_L2,10,0.5222,0.5003,0.4667,0.5333,0.155
MLP-esm,split3,KRAS,PDS_cos,10,0.4889,0.4994,0.4889,0.5111,1.0
MLP-esm,split3,KRAS,PDS_L1,10,0.5111,0.5002,0.4889,0.5222,0.273
MLP-esm,split3,KRAS,PDS_L2,10,0.5,0.5,0.5,0.5,1.0
MLP-esm+theta,split3,KRAS,PDS_cos,10,0.5,0.5002,0.4889,0.5111,0.739
MLP-esm+theta,split3,KRAS,PDS_L1,10,0.4778,0.5005,0.4778,0.5222,1.0
MLP-esm+theta,split3,KRAS,PDS_L2,10,0.4889,0.5002,0.4778,0.5222,0.968
Gene-mean,split3,KRAS,PDS_cos,10,0.5,0.5,0.5,0.5,1.0
Gene-mean,split3,KRAS,PDS_L1,10,0.5,0.5,0.5,0.5,1.0
Gene-mean,split3,KRAS,PDS_L2,10,0.5,0.5,0.5,0.5,1.0
WT-null,split3,KRAS,PDS_cos,10,0.5,0.5,0.5,0.5,1.0
WT-null,split3,KRAS,PDS_L1,10,0.5,0.5,0.5,0.5,1.0
WT-null,split3,KRAS,PDS_L2,10,0.5,0.5,0.5,0.5,1.0
Ridge-theta,split3,GATA1,PDS_cos,32,0.502,0.4997,0.4849,0.5141,0.364
Ridge-theta,split3,GATA1,PDS_L1,32,0.4929,0.4999,0.4889,0.5111,0.906
Ridge-theta,split3,GATA1,PDS_L2,32,0.497,0.5001,0.4879,0.5121,0.735
Ridge-esm,split3,GATA1,PDS_cos,32,0.506,0.4998,0.4889,0.5111,0.132
Ridge-esm,split3,GATA1,PDS_L1,32,0.506,0.5001,0.4889,0.5111,0.171
Ridge-esm,split3,GATA1,PDS_L2,32,0.5121,0.4998,0.4889,0.5101,0.014
Ridge-esm+theta,split3,GATA1,PDS_cos,32,0.496,0.4997,0.4839,0.5151,0.691
Ridge-esm+theta,split3,GATA1,PDS_L1,32,0.4919,0.4997,0.4889,0.5101,0.942
Ridge-esm+theta,split3,GATA1,PDS_L2,32,0.4919,0.4999,0.4899,0.5111,0.942
Lasso-theta,split3,GATA1,PDS_cos,32,0.5,0.5,0.496,0.503,0.634
Lasso-theta,split3,GATA1,PDS_L1,32,0.502,0.5001,0.496,0.504,0.219
Lasso-theta,split3,GATA1,PDS_L2,32,0.501,0.5,0.498,0.502,0.32
Lasso-esm,split3,GATA1,PDS_cos,32,0.5,0.5,0.5,0.5,1.0
Lasso-esm,split3,GATA1,PDS_L1,32,0.5,0.5,0.5,0.5,1.0
Lasso-esm,split3,GATA1,PDS_L2,32,0.5,0.5,0.5,0.5,1.0
Lasso-esm+theta,split3,GATA1,PDS_cos,32,0.5,0.5001,0.496,0.503,0.656
Lasso-esm+theta,split3,GATA1,PDS_L1,32,0.502,0.5001,0.496,0.504,0.214
Lasso-esm+theta,split3,GATA1,PDS_L2,32,0.501,0.5,0.498,0.502,0.329
RF-theta,split3,GATA1,PDS_cos,32,0.5151,0.5,0.4688,0.5302,0.184
RF-theta,split3,GATA1,PDS_L1,32,0.5,0.4992,0.4677,0.5353,0.472
RF-theta,split3,GATA1,PDS_L2,32,0.497,0.5009,0.4687,0.5393,0.556
RF-esm,split3,GATA1,PDS_cos,32,0.5111,0.4996,0.4758,0.5232,0.185
RF-esm,split3,GATA1,PDS_L1,32,0.506,0.4999,0.4708,0.5272,0.334
RF-esm,split3,GATA1,PDS_L2,32,0.5151,0.4995,0.4717,0.5293,0.153
RF-esm+theta,split3,GATA1,PDS_cos,32,0.497,0.5003,0.4778,0.5232,0.6
RF-esm+theta,split3,GATA1,PDS_L1,32,0.499,0.4999,0.4738,0.5262,0.515
RF-esm+theta,split3,GATA1,PDS_L2,32,0.502,0.5007,0.4728,0.5282,0.467
GBoost-theta,split3,GATA1,PDS_cos,32,0.495,0.4994,0.4576,0.5423,0.587
GBoost-theta,split3,GATA1,PDS_L1,32,0.4829,0.5004,0.4607,0.5454,0.785
GBoost-theta,split3,GATA1,PDS_L2,32,0.4808,0.4998,0.4607,0.5444,0.81
GBoost-esm,split3,GATA1,PDS_cos,32,0.4929,0.5026,0.4566,0.5504,0.672
GBoost-esm,split3,GATA1,PDS_L1,32,0.495,0.5003,0.4486,0.5534,0.568
GBoost-esm,split3,GATA1,PDS_L2,32,0.4909,0.5005,0.4476,0.5514,0.639
GBoost-esm+theta,split3,GATA1,PDS_cos,32,0.4859,0.5007,0.4597,0.5474,0.717
GBoost-esm+theta,split3,GATA1,PDS_L1,32,0.506,0.4988,0.4456,0.5494,0.387
GBoost-esm+theta,split3,GATA1,PDS_L2,32,0.4919,0.5,0.4486,0.5585,0.608
KNN-theta,split3,GATA1,PDS_cos,32,0.4829,0.499,0.4546,0.5454,0.76
KNN-theta,split3,GATA1,PDS_L1,32,0.497,0.5005,0.4597,0.5454,0.552
KNN-theta,split3,GATA1,PDS_L2,32,0.496,0.501,0.4607,0.5433,0.594
KNN-esm,split3,GATA1,PDS_cos,32,0.4909,0.5007,0.4486,0.5595,0.617
KNN-esm,split3,GATA1,PDS_L1,32,0.4798,0.5009,0.4435,0.5585,0.76
KNN-esm,split3,GATA1,PDS_L2,32,0.4829,0.4991,0.4425,0.5575,0.718
KNN-esm+theta,split3,GATA1,PDS_cos,32,0.4829,0.5004,0.4526,0.5454,0.774
KNN-esm+theta,split3,GATA1,PDS_L1,32,0.502,0.4983,0.4425,0.5565,0.447
KNN-esm+theta,split3,GATA1,PDS_L2,32,0.503,0.501,0.4476,0.5605,0.453
MLP-theta,split3,GATA1,PDS_cos,32,0.497,0.4999,0.4808,0.5172,0.638
MLP-theta,split3,GATA1,PDS_L1,32,0.5222,0.4999,0.4597,0.5383,0.142
MLP-theta,split3,GATA1,PDS_L2,32,0.5282,0.4999,0.4607,0.5373,0.079
MLP-esm,split3,GATA1,PDS_cos,32,0.5,0.5,0.498,0.502,0.747
MLP-esm,split3,GATA1,PDS_L1,32,0.5,0.4998,0.497,0.503,0.577
MLP-esm,split3,GATA1,PDS_L2,32,0.5,0.5,0.497,0.503,0.66
MLP-esm+theta,split3,GATA1,PDS_cos,32,0.5,0.5001,0.497,0.503,0.639
MLP-esm+theta,split3,GATA1,PDS_L1,32,0.497,0.4998,0.4819,0.5181,0.636
MLP-esm+theta,split3,GATA1,PDS_L2,32,0.497,0.4997,0.4788,0.5181,0.608
Gene-mean,split3,GATA1,PDS_cos,32,0.5,0.5,0.5,0.5,1.0
Gene-mean,split3,GATA1,PDS_L1,32,0.5,0.5,0.5,0.5,1.0
Gene-mean,split3,GATA1,PDS_L2,32,0.5,0.5,0.5,0.5,1.0
WT-null,split3,GATA1,PDS_cos,32,0.5,0.5,0.5,0.5,1.0
WT-null,split3,GATA1,PDS_L1,32,0.5,0.5,0.5,0.5,1.0
WT-null,split3,GATA1,PDS_L2,32,0.5,0.5,0.5,0.5,1.0
Ridge-theta,split3,JAK1,PDS_cos,20,0.4237,0.5005,0.4263,0.5737,0.981
Ridge-theta,split3,JAK1,PDS_L1,20,0.5053,0.4999,0.4868,0.5132,0.292
Ridge-theta,split3,JAK1,PDS_L2,20,0.4921,0.5,0.4816,0.5184,0.82
Ridge-esm,split3,JAK1,PDS_cos,19,0.5117,0.5002,0.4239,0.5731,0.383
Ridge-esm,split3,JAK1,PDS_L1,19,0.5117,0.5001,0.4825,0.5205,0.169
Ridge-esm,split3,JAK1,PDS_L2,19,0.5146,0.5001,0.4883,0.5117,0.014
Ridge-esm+theta,split3,JAK1,PDS_cos,19,0.4298,0.4972,0.4269,0.5614,0.966
Ridge-esm+theta,split3,JAK1,PDS_L1,19,0.5117,0.4993,0.4825,0.5146,0.091
Ridge-esm+theta,split3,JAK1,PDS_L2,19,0.4883,0.5,0.4825,0.5175,0.926
Lasso-theta,split3,JAK1,PDS_cos,20,0.3895,0.5009,0.4052,0.5868,0.988
Lasso-theta,split3,JAK1,PDS_L1,20,0.5079,0.4997,0.4816,0.5158,0.198
Lasso-theta,split3,JAK1,PDS_L2,20,0.4895,0.4997,0.4763,0.5211,0.827
Lasso-esm,split3,JAK1,PDS_cos,19,0.4912,0.5005,0.4415,0.5614,0.617
Lasso-esm,split3,JAK1,PDS_L1,19,0.5,0.5005,0.4912,0.5117,0.621
Lasso-esm,split3,JAK1,PDS_L2,19,0.5,0.5001,0.4912,0.5088,0.618
Lasso-esm+theta,split3,JAK1,PDS_cos,19,0.3567,0.5038,0.4006,0.6082,0.996
Lasso-esm+theta,split3,JAK1,PDS_L1,19,0.4912,0.5,0.4737,0.5234,0.794
Lasso-esm+theta,split3,JAK1,PDS_L2,19,0.4795,0.4991,0.462,0.538,0.863
RF-theta,split3,JAK1,PDS_cos,20,0.4684,0.4987,0.4316,0.5632,0.8
RF-theta,split3,JAK1,PDS_L1,20,0.4947,0.5001,0.4895,0.5132,0.821
RF-theta,split3,JAK1,PDS_L2,20,0.5026,0.4997,0.4895,0.5105,0.4
RF-esm,split3,JAK1,PDS_cos,19,0.538,0.5001,0.4649,0.5322,0.012
RF-esm,split3,JAK1,PDS_L1,19,0.5,0.4998,0.4912,0.5088,0.483
RF-esm,split3,JAK1,PDS_L2,19,0.5029,0.5,0.4942,0.5058,0.289
RF-esm+theta,split3,JAK1,PDS_cos,19,0.5058,0.4995,0.4474,0.5556,0.413
RF-esm+theta,split3,JAK1,PDS_L1,19,0.5088,0.4999,0.4912,0.5117,0.073
RF-esm+theta,split3,JAK1,PDS_L2,19,0.5088,0.5,0.4912,0.5088,0.035
GBoost-theta,split3,JAK1,PDS_cos,20,0.4684,0.5002,0.4105,0.5842,0.758
GBoost-theta,split3,JAK1,PDS_L1,20,0.4921,0.5003,0.4842,0.5159,0.879
GBoost-theta,split3,JAK1,PDS_L2,20,0.4974,0.4999,0.4789,0.5211,0.601
GBoost-esm,split3,JAK1,PDS_cos,19,0.5322,0.5022,0.4444,0.5614,0.164
GBoost-esm,split3,JAK1,PDS_L1,19,0.4971,0.4999,0.4883,0.5146,0.678
GBoost-esm,split3,JAK1,PDS_L2,19,0.5058,0.5,0.4883,0.5117,0.225
GBoost-esm+theta,split3,JAK1,PDS_cos,19,0.5234,0.4999,0.4474,0.5527,0.185
GBoost-esm+theta,split3,JAK1,PDS_L1,19,0.5,0.5002,0.4883,0.5117,0.592
GBoost-esm+theta,split3,JAK1,PDS_L2,19,0.5,0.4998,0.4912,0.5088,0.54
KNN-theta,split3,JAK1,PDS_cos,20,0.4895,0.5006,0.4474,0.5526,0.679
KNN-theta,split3,JAK1,PDS_L1,20,0.5053,0.5,0.4921,0.5079,0.186
KNN-theta,split3,JAK1,PDS_L2,20,0.5,0.5001,0.4921,0.5079,0.664
KNN-esm,split3,JAK1,PDS_cos,19,0.5,0.4999,0.4678,0.5351,0.476
KNN-esm,split3,JAK1,PDS_L1,19,0.5029,0.4999,0.4912,0.5058,0.344
KNN-esm,split3,JAK1,PDS_L2,19,0.5117,0.5001,0.4912,0.5088,0.001
KNN-esm+theta,split3,JAK1,PDS_cos,19,0.4708,0.5004,0.4561,0.5468,0.897
KNN-esm+theta,split3,JAK1,PDS_L1,19,0.5,0.5001,0.4942,0.5058,0.813
KNN-esm+theta,split3,JAK1,PDS_L2,19,0.5,0.5,0.4912,0.5088,0.662
MLP-theta,split3,JAK1,PDS_cos,20,0.4368,0.5008,0.4395,0.5606,0.979
MLP-theta,split3,JAK1,PDS_L1,20,0.5,0.4997,0.4841,0.5158,0.451
MLP-theta,split3,JAK1,PDS_L2,20,0.4947,0.5,0.4842,0.5184,0.733
MLP-esm,split3,JAK1,PDS_cos,19,0.5058,0.5006,0.4708,0.5351,0.403
MLP-esm,split3,JAK1,PDS_L1,19,0.5029,0.4999,0.4912,0.5088,0.376
MLP-esm,split3,JAK1,PDS_L2,19,0.5,0.5002,0.4942,0.5058,0.67
MLP-esm+theta,split3,JAK1,PDS_cos,19,0.5,0.4984,0.4298,0.5614,0.507
MLP-esm+theta,split3,JAK1,PDS_L1,19,0.4912,0.4997,0.4825,0.5175,0.828
MLP-esm+theta,split3,JAK1,PDS_L2,19,0.4912,0.5004,0.4825,0.5175,0.874
Gene-mean,split3,JAK1,PDS_cos,20,0.5,0.5,0.5,0.5,1.0
Gene-mean,split3,JAK1,PDS_L1,20,0.5,0.5,0.5,0.5,1.0
Gene-mean,split3,JAK1,PDS_L2,20,0.5,0.5,0.5,0.5,1.0
WT-null,split3,JAK1,PDS_cos,20,0.5,0.5,0.5,0.5,1.0
WT-null,split3,JAK1,PDS_L1,20,0.5,0.5,0.5,0.5,1.0
WT-null,split3,JAK1,PDS_L2,20,0.5,0.5,0.5,0.5,1.0
Ridge-theta,split5,GATA1,PDS_cos,45,0.498,0.5,0.4924,0.5076,0.705
Ridge-theta,split5,GATA1,PDS_L1,45,0.4944,0.5002,0.4919,0.5076,0.92
Ridge-theta,split5,GATA1,PDS_L2,45,0.4924,0.4996,0.4909,0.5081,0.953
Ridge-esm,split5,GATA1,PDS_cos,45,0.5015,0.5,0.497,0.5035,0.222
Ridge-esm,split5,GATA1,PDS_L1,45,0.4995,0.5,0.4965,0.5035,0.625
Ridge-esm,split5,GATA1,PDS_L2,45,0.497,0.5001,0.4965,0.5045,0.917
Ridge-esm+theta,split5,GATA1,PDS_cos,45,0.4965,0.5001,0.4919,0.5086,0.811
Ridge-esm+theta,split5,GATA1,PDS_L1,45,0.4949,0.5001,0.4919,0.5076,0.908
Ridge-esm+theta,split5,GATA1,PDS_L2,45,0.4909,0.4999,0.4914,0.5086,0.98
Lasso-theta,split5,GATA1,PDS_cos,45,0.4995,0.5,0.499,0.501,0.891
Lasso-theta,split5,GATA1,PDS_L1,45,0.4995,0.5,0.4995,0.5005,0.983
Lasso-theta,split5,GATA1,PDS_L2,45,0.5005,0.5,0.499,0.5015,0.36
Lasso-esm,split5,GATA1,PDS_cos,45,0.5,0.5,0.5,0.5,1.0
Lasso-esm,split5,GATA1,PDS_L1,45,0.5,0.5,0.5,0.5,1.0
Lasso-esm,split5,GATA1,PDS_L2,45,0.5,0.5,0.5,0.5,1.0
Lasso-esm+theta,split5,GATA1,PDS_cos,45,0.4995,0.5,0.499,0.501,0.885
Lasso-esm+theta,split5,GATA1,PDS_L1,45,0.4995,0.5,0.4995,0.5005,0.979
Lasso-esm+theta,split5,GATA1,PDS_L2,45,0.5005,0.5,0.4985,0.501,0.344
RF-theta,split5,GATA1,PDS_cos,45,0.4833,0.5004,0.4859,0.5146,0.991
RF-theta,split5,GATA1,PDS_L1,45,0.4884,0.5,0.4838,0.5182,0.912
RF-theta,split5,GATA1,PDS_L2,45,0.4869,0.4999,0.4823,0.5167,0.934
RF-esm,split5,GATA1,PDS_cos,45,0.4975,0.5,0.4894,0.5111,0.673
RF-esm,split5,GATA1,PDS_L1,45,0.5,0.5004,0.4854,0.5162,0.506
RF-esm,split5,GATA1,PDS_L2,45,0.4944,0.5003,0.4848,0.5157,0.79
RF-esm+theta,split5,GATA1,PDS_cos,45,0.4929,0.4999,0.4889,0.5106,0.907
RF-esm+theta,split5,GATA1,PDS_L1,45,0.4949,0.5003,0.4854,0.5157,0.753
RF-esm+theta,split5,GATA1,PDS_L2,45,0.4929,0.5004,0.4864,0.5157,0.835
GBoost-theta,split5,GATA1,PDS_cos,45,0.4874,0.5003,0.4813,0.5197,0.923
GBoost-theta,split5,GATA1,PDS_L1,45,0.4894,0.4997,0.4783,0.5207,0.843
GBoost-theta,split5,GATA1,PDS_L2,45,0.4884,0.4997,0.4823,0.5187,0.881
GBoost-esm,split5,GATA1,PDS_cos,45,0.4899,0.4997,0.4788,0.5202,0.832
GBoost-esm,split5,GATA1,PDS_L1,45,0.4939,0.5006,0.4763,0.5248,0.717
GBoost-esm,split5,GATA1,PDS_L2,45,0.498,0.4998,0.4773,0.5237,0.546
GBoost-esm+theta,split5,GATA1,PDS_cos,45,0.4884,0.5002,0.4798,0.5202,0.874
GBoost-esm+theta,split5,GATA1,PDS_L1,45,0.4929,0.5001,0.4753,0.5253,0.727
GBoost-esm+theta,split5,GATA1,PDS_L2,45,0.498,0.5004,0.4768,0.5232,0.57
KNN-theta,split5,GATA1,PDS_cos,45,0.4919,0.5005,0.4677,0.5343,0.693
KNN-theta,split5,GATA1,PDS_L1,45,0.4727,0.5005,0.4661,0.5359,0.934
KNN-theta,split5,GATA1,PDS_L2,45,0.4732,0.5001,0.4656,0.5349,0.931
KNN-esm,split5,GATA1,PDS_cos,45,0.4879,0.5002,0.4727,0.5283,0.817
KNN-esm,split5,GATA1,PDS_L1,45,0.4717,0.4995,0.4702,0.5298,0.968
KNN-esm,split5,GATA1,PDS_L2,45,0.4702,0.4996,0.4722,0.5303,0.979
KNN-esm+theta,split5,GATA1,PDS_cos,45,0.4985,0.5001,0.4727,0.5273,0.547
KNN-esm+theta,split5,GATA1,PDS_L1,45,0.4808,0.5001,0.4692,0.5328,0.884
KNN-esm+theta,split5,GATA1,PDS_L2,45,0.4788,0.5002,0.4707,0.5344,0.911
MLP-theta,split5,GATA1,PDS_cos,45,0.4939,0.5002,0.4909,0.5096,0.915
MLP-theta,split5,GATA1,PDS_L1,45,0.4742,0.5002,0.4606,0.5445,0.892
MLP-theta,split5,GATA1,PDS_L2,45,0.4722,0.4998,0.4576,0.545,0.906
MLP-esm,split5,GATA1,PDS_cos,45,0.4995,0.5,0.499,0.501,0.922
MLP-esm,split5,GATA1,PDS_L1,45,0.4995,0.5,0.498,0.502,0.751
MLP-esm,split5,GATA1,PDS_L2,45,0.4995,0.5,0.4975,0.5025,0.649
MLP-esm+theta,split5,GATA1,PDS_cos,45,0.501,0.5,0.498,0.502,0.199
MLP-esm+theta,split5,GATA1,PDS_L1,45,0.4909,0.5,0.4939,0.5061,0.999
MLP-esm+theta,split5,GATA1,PDS_L2,45,0.4914,0.5,0.4934,0.5071,0.992
Gene-mean,split5,GATA1,PDS_cos,45,0.5,0.5,0.5,0.5,1.0
Gene-mean,split5,GATA1,PDS_L1,45,0.5,0.5,0.5,0.5,1.0
Gene-mean,split5,GATA1,PDS_L2,45,0.5,0.5,0.5,0.5,1.0
WT-null,split5,GATA1,PDS_cos,45,0.5,0.5,0.5,0.5,1.0
WT-null,split5,GATA1,PDS_L1,45,0.5,0.5,0.5,0.5,1.0
WT-null,split5,GATA1,PDS_L2,45,0.5,0.5,0.5,0.5,1.0
Ridge-theta,split5,JAK1,PDS_cos,17,0.5257,0.4993,0.4706,0.5331,0.074
Ridge-theta,split5,JAK1,PDS_L1,17,0.5662,0.5032,0.4228,0.5846,0.075
Ridge-theta,split5,JAK1,PDS_L2,17,0.5846,0.4939,0.4081,0.5846,0.027
Ridge-esm,split5,JAK1,PDS_cos,14,0.5055,0.4994,0.4835,0.511,0.275
Ridge-esm,split5,JAK1,PDS_L1,14,0.522,0.5003,0.456,0.5385,0.191
Ridge-esm,split5,JAK1,PDS_L2,14,0.5055,0.4999,0.4505,0.5385,0.485
Ridge-esm+theta,split5,JAK1,PDS_cos,14,0.5,0.5015,0.4176,0.5935,0.498
Ridge-esm+theta,split5,JAK1,PDS_L1,14,0.5934,0.5001,0.3846,0.6154,0.058
Ridge-esm+theta,split5,JAK1,PDS_L2,14,0.5934,0.5045,0.3901,0.6264,0.063
Lasso-theta,split5,JAK1,PDS_cos,17,0.5331,0.5007,0.4449,0.5625,0.216
Lasso-theta,split5,JAK1,PDS_L1,17,0.5993,0.4982,0.4117,0.5846,0.015
Lasso-theta,split5,JAK1,PDS_L2,17,0.6397,0.5008,0.4043,0.6066,0.002
Lasso-esm,split5,JAK1,PDS_cos,14,0.511,0.4999,0.489,0.511,0.052
Lasso-esm,split5,JAK1,PDS_L1,14,0.5165,0.5,0.4725,0.522,0.137
Lasso-esm,split5,JAK1,PDS_L2,14,0.4945,0.4998,0.4725,0.5275,0.669
Lasso-esm+theta,split5,JAK1,PDS_cos,14,0.5165,0.5006,0.4176,0.5879,0.375
Lasso-esm+theta,split5,JAK1,PDS_L1,14,0.5934,0.5014,0.3956,0.6154,0.054
Lasso-esm+theta,split5,JAK1,PDS_L2,14,0.6154,0.4999,0.3791,0.6154,0.025
RF-theta,split5,JAK1,PDS_cos,17,0.5,0.5002,0.4853,0.5147,0.604
RF-theta,split5,JAK1,PDS_L1,17,0.5368,0.4995,0.4595,0.5551,0.108
RF-theta,split5,JAK1,PDS_L2,17,0.5294,0.5005,0.4632,0.5515,0.147
RF-esm,split5,JAK1,PDS_cos,14,0.5055,0.5,0.4835,0.5165,0.339
RF-esm,split5,JAK1,PDS_L1,14,0.5055,0.4991,0.456,0.5604,0.353
RF-esm,split5,JAK1,PDS_L2,14,0.4945,0.5,0.4505,0.5606,0.46
RF-esm+theta,split5,JAK1,PDS_cos,14,0.4945,0.5001,0.489,0.511,0.847
RF-esm+theta,split5,JAK1,PDS_L1,14,0.4945,0.4995,0.4615,0.5549,0.398
RF-esm+theta,split5,JAK1,PDS_L2,14,0.478,0.5002,0.456,0.5659,0.771
GBoost-theta,split5,JAK1,PDS_cos,17,0.5368,0.4989,0.4374,0.5699,0.177
GBoost-theta,split5,JAK1,PDS_L1,17,0.5846,0.499,0.4375,0.5847,0.043
GBoost-theta,split5,JAK1,PDS_L2,17,0.5882,0.5019,0.4375,0.5882,0.037
GBoost-esm,split5,JAK1,PDS_cos,14,0.5,0.5,0.4725,0.5275,0.473
GBoost-esm,split5,JAK1,PDS_L1,14,0.5275,0.5007,0.4341,0.5826,0.276
GBoost-esm,split5,JAK1,PDS_L2,14,0.5275,0.498,0.4341,0.588,0.277
GBoost-esm+theta,split5,JAK1,PDS_cos,14,0.5,0.5,0.4725,0.5275,0.471
GBoost-esm+theta,split5,JAK1,PDS_L1,14,0.467,0.4977,0.4231,0.5879,0.78
GBoost-esm+theta,split5,JAK1,PDS_L2,14,0.4835,0.5002,0.4286,0.5879,0.612
KNN-theta,split5,JAK1,PDS_cos,17,0.5,0.5007,0.4779,0.5184,0.621
KNN-theta,split5,JAK1,PDS_L1,17,0.5441,0.5015,0.4375,0.5809,0.147
KNN-theta,split5,JAK1,PDS_L2,17,0.5515,0.5006,0.4301,0.5846,0.11
KNN-esm,split5,JAK1,PDS_cos,14,0.511,0.4999,0.4725,0.522,0.248
KNN-esm,split5,JAK1,PDS_L1,14,0.511,0.5003,0.4615,0.544,0.33
KNN-esm,split5,JAK1,PDS_L2,14,0.5275,0.5008,0.4451,0.5604,0.194
KNN-esm+theta,split5,JAK1,PDS_cos,14,0.511,0.4996,0.4725,0.522,0.233
KNN-esm+theta,split5,JAK1,PDS_L1,14,0.5659,0.4983,0.4341,0.5714,0.044
KNN-esm+theta,split5,JAK1,PDS_L2,14,0.5769,0.5,0.4341,0.583,0.032
MLP-theta,split5,JAK1,PDS_cos,17,0.5,0.4995,0.4669,0.5331,0.525
MLP-theta,split5,JAK1,PDS_L1,17,0.5919,0.5011,0.4265,0.5882,0.024
MLP-theta,split5,JAK1,PDS_L2,17,0.5662,0.501,0.4265,0.5883,0.091
MLP-esm,split5,JAK1,PDS_cos,14,0.5055,0.4999,0.489,0.511,0.306
MLP-esm,split5,JAK1,PDS_L1,14,0.5165,0.5009,0.4615,0.533,0.231
MLP-esm,split5,JAK1,PDS_L2,14,0.5,0.5005,0.4615,0.533,0.62
MLP-esm+theta,split5,JAK1,PDS_cos,14,0.4945,0.5014,0.467,0.533,0.696
MLP-esm+theta,split5,JAK1,PDS_L1,14,0.5604,0.5017,0.4011,0.6154,0.154
MLP-esm+theta,split5,JAK1,PDS_L2,14,0.5495,0.4964,0.3901,0.6099,0.174
Gene-mean,split5,JAK1,PDS_cos,17,0.5,0.5,0.5,0.5,1.0
Gene-mean,split5,JAK1,PDS_L1,17,0.5,0.5,0.5,0.5,1.0
Gene-mean,split5,JAK1,PDS_L2,17,0.5,0.5,0.5,0.5,1.0
WT-null,split5,JAK1,PDS_cos,17,0.5,0.5,0.5,0.5,1.0
WT-null,split5,JAK1,PDS_L1,17,0.5,0.5,0.5,0.5,1.0
WT-null,split5,JAK1,PDS_L2,17,0.5,0.5,0.5,0.5,1.0
Ridge-theta,split6,TP53,PDS_cos,10,0.4778,0.4994,0.4444,0.5556,0.767
Ridge-theta,split6,TP53,PDS_L1,10,0.4889,0.501,0.4556,0.5444,0.781
Ridge-theta,split6,TP53,PDS_L2,10,0.4778,0.4993,0.4556,0.5444,0.843
Ridge-esm,split6,TP53,PDS_cos,10,0.5,0.4999,0.4889,0.5111,0.905
Ridge-esm,split6,TP53,PDS_L1,10,0.5111,0.5001,0.4889,0.5111,0.207
Ridge-esm,split6,TP53,PDS_L2,10,0.4889,0.5002,0.4778,0.5222,0.945
Ridge-esm+theta,split6,TP53,PDS_cos,10,0.5111,0.5008,0.4444,0.5667,0.395
Ridge-esm+theta,split6,TP53,PDS_L1,10,0.4889,0.5002,0.4556,0.5444,0.745
Ridge-esm+theta,split6,TP53,PDS_L2,10,0.4889,0.5003,0.4556,0.5444,0.728
Lasso-theta,split6,TP53,PDS_cos,10,0.5,0.5,0.5,0.5,1.0
Lasso-theta,split6,TP53,PDS_L1,10,0.5,0.5,0.5,0.5,1.0
Lasso-theta,split6,TP53,PDS_L2,10,0.5,0.4998,0.4889,0.5111,0.901
Lasso-esm,split6,TP53,PDS_cos,10,0.5,0.5,0.5,0.5,1.0
Lasso-esm,split6,TP53,PDS_L1,10,0.5,0.5,0.5,0.5,1.0
Lasso-esm,split6,TP53,PDS_L2,10,0.5,0.5,0.5,0.5,1.0
Lasso-esm+theta,split6,TP53,PDS_cos,10,0.5,0.5,0.5,0.5,1.0
Lasso-esm+theta,split6,TP53,PDS_L1,10,0.5,0.5,0.5,0.5,1.0
Lasso-esm+theta,split6,TP53,PDS_L2,10,0.5,0.4998,0.4889,0.5111,0.895
RF-theta,split6,TP53,PDS_cos,10,0.5,0.4998,0.4333,0.5667,0.561
RF-theta,split6,TP53,PDS_L1,10,0.4556,0.5002,0.4333,0.5778,0.855
RF-theta,split6,TP53,PDS_L2,10,0.5,0.4996,0.4333,0.5556,0.589
RF-esm,split6,TP53,PDS_cos,10,0.5111,0.5008,0.4778,0.5222,0.326
RF-esm,split6,TP53,PDS_L1,10,0.5111,0.4999,0.4889,0.5111,0.261
RF-esm,split6,TP53,PDS_L2,10,0.5111,0.5001,0.4778,0.5222,0.304
RF-esm+theta,split6,TP53,PDS_cos,10,0.5222,0.5002,0.4778,0.5333,0.08
RF-esm+theta,split6,TP53,PDS_L1,10,0.5111,0.4999,0.4667,0.5333,0.213
RF-esm+theta,split6,TP53,PDS_L2,10,0.5111,0.5003,0.4778,0.5222,0.377
GBoost-theta,split6,TP53,PDS_cos,10,0.4889,0.4996,0.4222,0.5778,0.609
GBoost-theta,split6,TP53,PDS_L1,10,0.4667,0.4965,0.4111,0.5889,0.777
GBoost-theta,split6,TP53,PDS_L2,10,0.5,0.4974,0.4333,0.5667,0.527
GBoost-esm,split6,TP53,PDS_cos,10,0.5889,0.4995,0.4111,0.5889,0.023
GBoost-esm,split6,TP53,PDS_L1,10,0.5333,0.5003,0.4111,0.5889,0.265
