method,split,gene,metric,n_test,obs_pds,null_mean,null_lo,null_hi,p_above_obs
MLP-esm+theta,split1,KRAS,PDS_cos,8,0.5,0.5,0.5,0.5,1.0
MLP-esm+theta,split1,KRAS,PDS_L1,8,0.5,0.4998,0.4821,0.5179,0.872
MLP-esm+theta,split1,KRAS,PDS_L2,8,0.5,0.5,0.5,0.5,1.0
Gene-mean,split1,KRAS,PDS_cos,8,0.5,0.5,0.5,0.5,1.0
Gene-mean,split1,KRAS,PDS_L1,8,0.5,0.5,0.5,0.5,1.0
Gene-mean,split1,KRAS,PDS_L2,8,0.5,0.5,0.5,0.5,1.0
WT-null,split1,KRAS,PDS_cos,8,0.5,0.5,0.5,0.5,1.0
WT-null,split1,KRAS,PDS_L1,8,0.5,0.5,0.5,0.5,1.0
WT-null,split1,KRAS,PDS_L2,8,0.5,0.5,0.5,0.5,1.0
Ridge-theta,split1,GATA1,PDS_cos,52,0.4951,0.5,0.483,0.5166,0.718
Ridge-theta,split1,GATA1,PDS_L1,52,0.4966,0.5002,0.4819,0.5189,0.65
Ridge-theta,split1,GATA1,PDS_L2,52,0.4989,0.5,0.483,0.5177,0.545
Ridge-esm,split1,GATA1,PDS_cos,52,0.5023,0.5001,0.4955,0.5049,0.21
Ridge-esm,split1,GATA1,PDS_L1,52,0.503,0.4999,0.4913,0.5083,0.243
Ridge-esm,split1,GATA1,PDS_L2,52,0.5,0.4997,0.4917,0.5083,0.455
Ridge-esm+theta,split1,GATA1,PDS_cos,52,0.4947,0.5,0.4845,0.5162,0.726
Ridge-esm+theta,split1,GATA1,PDS_L1,52,0.4959,0.4999,0.4808,0.5196,0.66
Ridge-esm+theta,split1,GATA1,PDS_L2,52,0.497,0.5003,0.4815,0.5196,0.629
Lasso-theta,split1,GATA1,PDS_cos,52,0.4992,0.5,0.4985,0.5015,0.904
Lasso-theta,split1,GATA1,PDS_L1,52,0.4996,0.5,0.4985,0.5019,0.727
Lasso-theta,split1,GATA1,PDS_L2,52,0.5008,0.5,0.4985,0.5015,0.241
Lasso-esm,split1,GATA1,PDS_cos,52,0.5,0.5,0.5,0.5,1.0
Lasso-esm,split1,GATA1,PDS_L1,52,0.5,0.5,0.5,0.5,1.0
Lasso-esm,split1,GATA1,PDS_L2,52,0.5,0.5,0.5,0.5,1.0
Lasso-esm+theta,split1,GATA1,PDS_cos,52,0.4992,0.5,0.4985,0.5015,0.919
Lasso-esm+theta,split1,GATA1,PDS_L1,52,0.4996,0.5,0.4985,0.5019,0.728
Lasso-esm+theta,split1,GATA1,PDS_L2,52,0.5008,0.5,0.4985,0.5015,0.212
RF-theta,split1,GATA1,PDS_cos,52,0.4932,0.4997,0.4766,0.5234,0.696
RF-theta,split1,GATA1,PDS_L1,52,0.5192,0.4998,0.4706,0.5339,0.117
RF-theta,split1,GATA1,PDS_L2,52,0.5189,0.4994,0.4694,0.5324,0.127
RF-esm,split1,GATA1,PDS_cos,52,0.5026,0.5002,0.486,0.5143,0.375
RF-esm,split1,GATA1,PDS_L1,52,0.5026,0.4999,0.4781,0.5207,0.409
RF-esm,split1,GATA1,PDS_L2,52,0.5041,0.5001,0.48,0.5207,0.357
RF-esm+theta,split1,GATA1,PDS_cos,52,0.5019,0.5001,0.4872,0.5128,0.396
RF-esm+theta,split1,GATA1,PDS_L1,52,0.5,0.5001,0.4781,0.5219,0.488
RF-esm+theta,split1,GATA1,PDS_L2,52,0.5038,0.5002,0.4789,0.5207,0.384
GBoost-theta,split1,GATA1,PDS_cos,52,0.5019,0.5,0.474,0.5275,0.446
GBoost-theta,split1,GATA1,PDS_L1,52,0.514,0.5006,0.4664,0.5396,0.216
GBoost-theta,split1,GATA1,PDS_L2,52,0.517,0.5006,0.4687,0.534,0.175
GBoost-esm,split1,GATA1,PDS_cos,52,0.5121,0.5007,0.4687,0.5313,0.247
GBoost-esm,split1,GATA1,PDS_L1,52,0.5211,0.5002,0.4608,0.537,0.128
