perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"Daphnetin | 1000.0",False,False,False,-201.951,4861.19
"Daphnetin | 10000.0",False,False,False,-540.017,1337.98
"Decitabine | 10.0",False,False,False,4738.29,14707.3
"Decitabine | 100.0",False,False,False,40.8076,3118
"Decitabine | 1000.0",True,False,False,390.794,4017.32
"Decitabine | 10000.0",False,False,False,-290.64,3067.69
"Disulfiram  | 10.0",False,False,False,-297.808,2842.01
"Disulfiram  | 100.0",False,False,False,-293.8,2223.65
"Disulfiram  | 1000.0",False,False,False,4232.75,30134.4
"Disulfiram  | 10000.0",False,False,False,-728.36,951.807
"Divalproex Sodium | 10.0",False,False,False,327.927,6154.6
"Divalproex Sodium | 100.0",False,False,False,-261.554,3047.48
"Divalproex Sodium | 1000.0",False,False,False,-376.776,3266.69
"Divalproex Sodium | 10000.0",False,False,False,-476.786,2394.99
"Droxinostat | 10.0",False,False,False,440.662,4070.85
"Droxinostat | 100.0",False,False,False,689.132,3243.08
"Droxinostat | 1000.0",False,False,False,-623.811,1546.13
"Droxinostat | 10000.0",False,False,False,-616.125,912.484
"EED226 | 10.0",False,False,False,-234.348,2688.28
"EED226 | 100.0",False,False,False,-395.736,2880.86
"EED226 | 1000.0",False,False,False,-521.878,1808.63
"EED226 | 10000.0",False,False,False,823.453,8265.05
"ENMD-2076 | 10.0",False,False,False,-161.819,2872.28
"ENMD-2076 | 100.0",False,False,False,-687.253,2823.72
"ENMD-2076 L-(+)-Tartaric acid  | 10.0",False,False,False,517.744,3981.19
"ENMD-2076 L-(+)-Tartaric acid  | 100.0",False,False,False,-390.283,2623.45
"Ellagic acid | 10.0",False,False,False,-572.023,1736.86
"Ellagic acid | 100.0",False,False,False,-176.176,2094.19
"Ellagic acid | 1000.0",False,False,False,-644.077,1563.68
"Ellagic acid | 10000.0",False,False,False,-114.307,2846.37
"Entacapone | 10.0",False,False,False,1158.73,12294.4
"Entacapone | 100.0",False,False,False,429.955,3642.55
"Entacapone | 1000.0",False,False,False,1132.68,5798.49
"Entacapone | 10000.0",False,False,False,142.449,2797.62
"Entinostat (MS-275) | 10.0",False,False,False,1783.77,8345.66
"Entinostat (MS-275) | 100.0",False,False,False,624.426,4681.25
"Entinostat (MS-275) | 1000.0",False,False,False,837.943,5980.13
"Enzastaurin (LY317615) | 10.0",False,False,False,485.299,3821.42
"Enzastaurin (LY317615) | 100.0",False,False,False,90.8718,4391.87
"Enzastaurin (LY317615) | 1000.0",False,False,False,-61.632,4038.07
"FLLL32 | 10.0",False,False,False,-343.967,2353.31
"FLLL32 | 100.0",False,False,False,-74.9494,2725.3
"FLLL32 | 1000.0",False,False,False,156.053,2556.17
"Fasudil (HA-1077) HCl | 10.0",False,False,False,510.979,7642.82
"Fasudil (HA-1077) HCl | 100.0",False,False,False,-234.549,3802.98
