perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"IOX2 | 10.0",False,False,False,-5170.01,86207.3
"IOX2 | 100.0",False,False,False,-20655.7,23669.9
"IOX2 | 1000.0",False,False,False,4343.44,85890.2
"IOX2 | 10000.0",False,False,False,58067.9,218643
"ITSA-1 (ITSA1) | 10.0",False,False,False,-10718.3,24578
"ITSA-1 (ITSA1) | 100.0",False,False,False,62810.5,373265
"ITSA-1 (ITSA1) | 1000.0",False,False,False,14347,118910
"ITSA-1 (ITSA1) | 10000.0",False,False,False,6278.2,87486.3
"Iniparib (BSI-201) | 100.0",False,False,False,-8362.11,57147.1
"Iniparib (BSI-201) | 1000.0",False,False,False,-16066.5,38638.1
"Iniparib (BSI-201) | 10000.0",False,False,False,-11436.3,44509.7
"Ivosidenib (AG-120) | 100.0",False,False,False,48026.7,179254
"Ivosidenib (AG-120) | 1000.0",False,False,False,27593.6,279787
"JNJ-26854165 (Serdemetan) | 10.0",False,False,False,-7759.51,58974.3
"JNJ-26854165 (Serdemetan) | 100.0",False,False,False,7053.36,99614.1
"JNJ-26854165 (Serdemetan) | 1000.0",False,False,False,2233.17,77956.5
"JNJ-7706621 | 10.0",False,False,False,7944.51,133508
"JNJ-7706621 | 100.0",False,False,False,19470.4,146062
"JNJ-7706621 | 1000.0",False,False,False,18710.4,125904
"JNJ-7706621 | 10000.0",False,False,False,30078.3,128045
"KW-2449 | 10.0",False,False,False,10800.4,92053.5
"KW-2449 | 100.0",False,False,False,-2618.41,58861.7
"Ki16425 | 10.0",False,False,False,14504.3,143886
"Ki16425 | 100.0",False,False,False,6537.05,67023.8
"Ki16425 | 1000.0",False,False,False,7655.11,58034.3
"Ki16425 | 10000.0",False,False,False,1648.55,62847.1
"Ki8751 | 10.0",False,False,False,4782.76,150648
"Ki8751 | 100.0",False,False,False,28221.9,202854
"Ki8751 | 1000.0",False,False,False,-5204.63,63242.3
"Lapatinib (GW-572016) Ditosylate | 10.0",False,False,False,2128.2,88278
"Lapatinib (GW-572016) Ditosylate | 100.0",False,False,False,7649.37,100921
"Lenalidomide (CC-5013) | 10.0",False,False,False,1921.58,92592.3
"Lenalidomide (CC-5013) | 10000.0",False,False,False,-8809.24,54822.6
"Linifanib (ABT-869) | 10.0",False,False,False,-4868.85,49940.2
"Linifanib (ABT-869) | 100.0",False,False,False,11894.7,155957
"Linifanib (ABT-869) | 1000.0",False,False,False,-5459.06,63579.8
"Lomustine  | 10.0",False,False,False,-4173.67,54352
"Lomustine  | 100.0",False,False,False,39044.5,178021
"Lomustine  | 1000.0",False,False,False,-4249.26,65694.1
"Lomustine  | 10000.0",False,False,False,-9895.16,48404.4
"Luminespib (AUY-922, NVP-AUY922) | 10.0",False,False,False,22886.8,87350.4
"M344 | 10.0",False,False,False,6288.24,56340.8
"M344 | 100.0",False,False,False,5391.25,180979
"M344 | 1000.0",False,False,False,-5453.83,47147.7
"M344 | 10000.0",False,False,False,-15097.7,65927
"MC1568 | 10.0",False,False,False,11498.1,160052
"MC1568 | 100.0",False,False,False,3379.53,141536
"MC1568 | 1000.0",False,False,False,-4943.92,60820.3
"MC1568 | 10000.0",False,False,False,-9307.72,89385.7
"MK-0752 | 10.0",False,False,False,-1722.28,88111
"MK-0752 | 100.0",False,False,False,1245.5,125656
"MK-0752 | 1000.0",False,False,False,8929.93,86043.9
"MK-5108 (VX-689) | 10.0",False,False,False,4131.78,66887.5
"MK-5108 (VX-689) | 100.0",False,False,False,9343.32,152980
"MK-5108 (VX-689) | 1000.0",False,False,False,17460.3,74634.7
"MLN8054 | 10.0",False,False,False,127.419,69455.8
"MLN8054 | 1000.0",False,False,False,33073.7,156072
"MLN8054 | 10000.0",False,False,False,16148.3,189294
"Maraviroc | 10.0",False,False,False,16988.7,133008
"Maraviroc | 100.0",False,False,False,7452.63,149314
"Maraviroc | 1000.0",False,False,False,-4626.33,88104.5
"Maraviroc | 10000.0",False,False,False,25429.2,142541
"Meprednisone | 10.0",False,False,False,-11585.6,38641
"Meprednisone | 100.0",False,False,False,16771.2,72096.8
"Meprednisone | 10000.0",True,False,False,24895.9,110412
"Mercaptopurine (6-MP) | 100.0",False,False,False,3401.95,60866.9
"Mesna  | 10.0",False,False,False,-7740.19,91079.3
"Mesna  | 100.0",False,False,False,7257.76,99171.8
"Mesna  | 10000.0",False,False,False,-8204.87,67683.2
"Mocetinostat (MGCD0103) | 100.0",False,False,False,1062.17,61315.8
"Mocetinostat (MGCD0103) | 1000.0",False,False,False,-1451.96,34714.2
"Momelotinib (CYT387) | 10.0",False,False,False,15443,133350
"Momelotinib (CYT387) | 100.0",False,False,False,16819,113810
"Momelotinib (CYT387) | 1000.0",False,False,False,-13126.1,37908.3
"Motesanib Diphosphate (AMG-706) | 10.0",False,False,False,41816.3,174554
"Motesanib Diphosphate (AMG-706) | 100.0",False,False,False,-5201.34,51968
"Motesanib Diphosphate (AMG-706) | 1000.0",False,False,False,1995.82,54776.9
"Motesanib Diphosphate (AMG-706) | 10000.0",False,False,False,10358.3,90101.5
"NVP-BSK805 2HCl | 10.0",False,False,False,7380.57,101693
"NVP-BSK805 2HCl | 100.0",False,False,False,10549.4,72013.2
"NVP-BSK805 2HCl | 1000.0",False,False,False,23799.9,155615
"NVP-BSK805 2HCl | 10000.0",False,False,False,10215.5,100743
"Navitoclax (ABT-263) | 10.0",False,False,False,38088.3,311752
"Navitoclax (ABT-263) | 100.0",False,False,False,-16770.2,46535.1
"Navitoclax (ABT-263) | 1000.0",False,False,False,17400.9,79935.7
"Nilotinib (AMN-107) | 10.0",False,False,False,-8653.25,56983.7
"Nilotinib (AMN-107) | 100.0",False,False,False,52728.4,205199
"Nilotinib (AMN-107) | 1000.0",False,False,False,17773.5,113086
"Nilotinib (AMN-107) | 10000.0",False,False,False,-7387.07,55600.5
"Nintedanib (BIBF 1120) | 10.0",False,False,False,6278.05,87601.4
"Nintedanib (BIBF 1120) | 1000.0",False,False,False,8595.93,122170
"Obatoclax Mesylate (GX15-070) | 10.0",False,False,False,326.977,92873
"Obatoclax Mesylate (GX15-070) | 100.0",False,False,False,47911.5,219060
"Obatoclax Mesylate (GX15-070) | 1000.0",False,False,False,23800.5,124471
"Ofloxacin | 10.0",False,False,False,23194.9,132421
"Ofloxacin | 100.0",False,False,False,22062.2,250745
"Ofloxacin | 1000.0",False,False,False,-2489.54,77537.2
"Ofloxacin | 10000.0",False,False,False,-13021.1,42289
"PCI-34051 | 10.0",False,False,False,4698.49,93685.7
"PCI-34051 | 100.0",False,False,False,18377.5,165476
"PCI-34051 | 1000.0",False,False,False,16770.2,185843
"PD173074 | 10.0",False,False,False,2268.35,110119
"PD173074 | 100.0",False,False,False,8083.96,117766
"PD98059 | 10.0",False,False,False,-2803.31,74382.7
"PD98059 | 100.0",False,False,False,16641.5,128224
"PD98059 | 1000.0",False,False,False,22720.2,238491
"PD98059 | 10000.0",False,False,False,37027,334860
"PF-3845 | 10.0",False,False,False,20599.2,73049.5
"PF-3845 | 100.0",False,False,False,14768.7,204065
"PF-3845 | 10000.0",False,False,False,14820.3,166260
"PF-573228 | 10.0",False,False,False,-9201.8,54487
"PF-573228 | 100.0",False,False,False,-6760.44,74287.2
"PF-573228 | 1000.0",False,False,False,6687.89,167312
"PFI-1 (PF-6405761) | 10.0",False,False,False,-6173.14,63433.7
"PFI-1 (PF-6405761) | 100.0",False,False,False,9603.34,66398.1
"PFI-1 (PF-6405761) | 1000.0",False,False,False,-7170.52,74332.7
"PFI-1 (PF-6405761) | 10000.0",False,False,False,-9604.82,55782.1
"PHA-680632 | 10.0",False,False,False,17675.2,109900
"PHA-680632 | 1000.0",False,False,False,-5953.13,80565
"PJ34 | 10.0",False,False,False,-5701.72,60709.5
"PJ34 | 100.0",False,False,False,-20541.7,30771.3
"PJ34 | 1000.0",False,False,False,-20349.7,32216.3
"PJ34 | 10000.0",False,False,False,12132.2,88919.3
"Panobinostat (LBH589) | 100.0",False,False,False,998.189,61749.2
"Panobinostat (LBH589) | 1000.0",False,False,False,-18010.6,44843.5
"Panobinostat (LBH589) | 10000.0",False,False,False,-20159.8,37035.8
"Pelitinib (EKB-569) | 10.0",False,False,False,33369.8,221123
"Pelitinib (EKB-569) | 100.0",False,False,False,18618.7,115226
"Pelitinib (EKB-569) | 1000.0",False,False,False,7148.28,86654.1
"Pirarubicin | 10.0",False,False,False,17016.1,206105
"Pirarubicin | 100.0",False,False,False,24057.6,206065
"Pirarubicin | 1000.0",False,False,False,3206.86,63616.4
"Pracinostat (SB939) | 10.0",True,False,False,14593.6,132403
"Pracinostat (SB939) | 100.0",False,False,False,8765.69,98096.2
"Pracinostat (SB939) | 1000.0",False,False,False,24612.8,210751
"Pracinostat (SB939) | 10000.0",False,False,False,-20405.3,36752.2
"Prednisone  | 10.0",False,False,False,-5412.12,64153.5
"Prednisone  | 100.0",False,False,False,-2973.51,82112.2
"Prednisone  | 10000.0",False,False,False,11759.2,172242
"Quercetin | 10.0",False,False,False,-20974.5,31330.6
"Quercetin | 100.0",False,False,False,4662.55,101634
"Quercetin | 1000.0",False,False,False,-20593.9,23712.3
"Quercetin | 10000.0",False,False,False,-10107.8,47499.5
"Quisinostat (JNJ-26481585) 2HCl | 1000.0",False,False,False,-24297.1,26943.2
"Quisinostat (JNJ-26481585) 2HCl | 10000.0",False,False,False,4519.65,125442
"RG108 | 10.0",False,False,False,-5936.13,53456.2
"RG108 | 100.0",False,False,False,3225.95,80323
"RG108 | 1000.0",False,False,False,22946.6,137659
"RG108 | 10000.0",False,False,False,1589.54,62646.6
"Ramelteon | 100.0",False,False,False,8227.28,71552.4
"Ramelteon | 10000.0",False,False,False,12553.3,51076.7
"Regorafenib (BAY 73-4506) | 10.0",False,False,False,15315.1,175646
"Regorafenib (BAY 73-4506) | 100.0",False,False,False,1720.53,66457.8
"Regorafenib (BAY 73-4506) | 1000.0",False,False,False,-21226.5,26204.5
"Resminostat | 10.0",False,False,False,-12511,40813.8
"Resminostat | 100.0",False,False,False,1971.03,33830.8
"Resminostat | 1000.0",False,False,False,-6778.53,72601.8
"Resminostat | 10000.0",False,False,False,16707.5,136437
"Resveratrol | 10.0",False,False,False,-505.153,109095
"Resveratrol | 100.0",False,False,False,8388.29,100455
"Resveratrol | 1000.0",False,False,False,-16417.6,65600.2
"Resveratrol | 10000.0",False,False,False,27011.6,199109
"Rigosertib (ON-01910) | 10.0",False,False,False,-4064.7,79547.5
"Roscovitine (Seliciclib,CYC202) | 10.0",False,False,False,-7249.61,73160
"Roxadustat (FG-4592) | 10.0",False,False,False,-17635.7,68001.3
"Roxadustat (FG-4592) | 100.0",False,False,False,-8690.83,120106
"Roxadustat (FG-4592) | 1000.0",False,False,False,-4023.65,61902.8
"Roxadustat (FG-4592) | 10000.0",False,False,False,20972.7,185537
"Rucaparib (AG-014699,PF-01367338) phosphate | 10.0",False,False,False,-2793.35,99795.6
"Rucaparib (AG-014699,PF-01367338) phosphate | 10000.0",False,False,False,17786,116841
"Ruxolitinib (INCB018424) | 10.0",False,False,False,-4713.11,59047.2
"Ruxolitinib (INCB018424) | 100.0",False,False,False,-24743.7,21060.1
"Ruxolitinib (INCB018424) | 1000.0",False,False,False,-1990.14,79312
"Ruxolitinib (INCB018424) | 10000.0",False,False,False,-1569.76,99243.1
"S-Ruxolitinib (INCB018424) | 10.0",False,False,False,38447.6,250510
"S-Ruxolitinib (INCB018424) | 100.0",False,False,False,-15232.7,44862.7
"S-Ruxolitinib (INCB018424) | 1000.0",False,False,False,6887.06,112085
"S-Ruxolitinib (INCB018424) | 10000.0",False,False,False,21729.7,118411
