perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"Cimetidine  | 10.0",False,False,False,13101.1,32018.6
"Cimetidine  | 100.0",False,False,False,4727.79,23634.1
"Cimetidine  | 1000.0",False,False,False,-1303.92,13690.9
"Cimetidine  | 10000.0",False,False,False,39512.3,79216
"Clevudine  | 10.0",False,False,False,4886.23,19121.9
"Clevudine  | 100.0",False,False,False,-802.815,18655.1
"Clevudine  | 1000.0",False,False,False,-5222.07,5836.98
"Clevudine  | 10000.0",False,False,False,-535.769,23159.2
"Costunolide | 10.0",False,False,False,6463.78,51935.9
"Costunolide | 100.0",False,False,False,5313.13,39087.5
"Costunolide | 10000.0",False,False,False,751.37,15137.4
"Crizotinib (PF-02341066) | 10.0",False,False,False,24817.1,102432
"Crizotinib (PF-02341066) | 100.0",False,False,False,12914.3,41824
"Crizotinib (PF-02341066) | 1000.0",False,False,False,8320.65,44790.5
"Curcumin | 10.0",False,False,False,10823.5,39987.9
"Curcumin | 100.0",False,False,False,12979.2,33201.3
"Curcumin | 1000.0",False,False,False,-367.674,15158.3
"Curcumin | 10000.0",False,False,False,-380.711,17632.8
"Cyclocytidine HCl | 10.0",False,False,False,-3052.74,8347.54
"Cyclocytidine HCl | 100.0",False,False,False,1658.89,29125.7
"Dacinostat (LAQ824) | 10.0",True,False,False,5223.96,22880.4
"Dacinostat (LAQ824) | 10000.0",True,False,False,1864.37,24462
"Danusertib (PHA-739358) | 10.0",False,False,False,3986.18,28033.9
"Danusertib (PHA-739358) | 1000.0",False,False,False,4721.6,27321.2
"Daphnetin | 10.0",False,False,False,83.4817,25349.5
"Daphnetin | 100.0",False,False,False,1583.01,22329.5
"Daphnetin | 1000.0",False,False,False,4362.07,29094.8
"Daphnetin | 10000.0",False,False,False,7972.73,21739
"Dasatinib | 10.0",False,False,False,12569.6,40681.3
"Dasatinib | 100.0",False,False,False,3343.99,21893.6
"Decitabine | 10.0",False,False,False,1520,24786.3
"Decitabine | 10000.0",False,False,False,4730.19,42979
"Disulfiram  | 10.0",False,False,False,-1669.06,9544.93
"Disulfiram  | 10000.0",False,False,False,-2349.72,13291.2
"Divalproex Sodium | 10.0",False,False,False,949.412,14875.9
"Divalproex Sodium | 100.0",False,False,False,-1013.2,23018.7
"Divalproex Sodium | 1000.0",False,False,False,6421.75,28331.3
"Divalproex Sodium | 10000.0",False,False,False,1220.97,15575.5
"Droxinostat | 10.0",False,False,False,6563.78,40194.3
"Droxinostat | 100.0",False,False,False,2184.43,24303.5
"Droxinostat | 1000.0",False,False,False,-453.526,19876
"Droxinostat | 10000.0",False,False,False,20803.7,51750
"EED226 | 10.0",False,False,False,3383.93,28796.4
"EED226 | 100.0",False,False,False,-2291.39,12575
"EED226 | 1000.0",False,False,False,-893.45,13705.6
"EED226 | 10000.0",False,False,False,2589.53,27873.6
"ENMD-2076 | 10.0",False,False,False,32850.3,101280
"ENMD-2076 | 100.0",False,False,False,1733.29,22796.2
"ENMD-2076 | 1000.0",False,False,False,4037.87,23209.1
"ENMD-2076 L-(+)-Tartaric acid  | 10.0",False,False,False,-125.223,19030
"ENMD-2076 L-(+)-Tartaric acid  | 100.0",False,False,False,4514.69,21897.1
"ENMD-2076 L-(+)-Tartaric acid  | 1000.0",False,False,False,5488.77,41715.8
"Ellagic acid | 10.0",False,False,False,1785.08,22774.3
"Ellagic acid | 100.0",False,False,False,5531.35,27486.5
"Ellagic acid | 1000.0",False,False,False,-3263.51,11942.6
"Ellagic acid | 10000.0",False,False,False,1169.64,16717.6
"Entacapone | 10.0",False,False,False,3056.53,27118.7
"Entacapone | 100.0",False,False,False,-3005.48,10038.9
"Entacapone | 1000.0",False,False,False,2551.77,34965.5
"Entacapone | 10000.0",False,False,False,-41.1601,21873
"Entinostat (MS-275) | 10.0",False,False,False,1864.22,22446.5
"Entinostat (MS-275) | 100.0",False,False,False,-477.815,21783.7
"Entinostat (MS-275) | 1000.0",False,False,False,-2495.93,14636.9
"Entinostat (MS-275) | 10000.0",False,False,False,2196,13801.2
"Enzastaurin (LY317615) | 10.0",False,False,False,1069.52,16766.3
"Enzastaurin (LY317615) | 100.0",False,False,False,-965.803,14004.9
"Enzastaurin (LY317615) | 1000.0",False,False,False,10916.3,40063.8
"Enzastaurin (LY317615) | 10000.0",False,False,False,-549.969,10212.3
"FLLL32 | 10.0",False,False,False,-1828.41,12424.6
"FLLL32 | 100.0",False,False,False,-1648.78,15083.6
"FLLL32 | 1000.0",False,False,False,-4872.8,6972.95
"FLLL32 | 10000.0",True,False,False,3444.27,23345.1
"Fasudil (HA-1077) HCl | 10.0",False,False,False,842.435,30999.9
"Fasudil (HA-1077) HCl | 100.0",False,False,False,-5936.43,3131.52
"Fasudil (HA-1077) HCl | 1000.0",True,False,False,5218.75,29042.8
"Fasudil (HA-1077) HCl | 10000.0",False,False,False,4332.07,23653.4
"Fedratinib (SAR302503, TG101348) | 10.0",False,False,False,6946.38,35772.8
"Fedratinib (SAR302503, TG101348) | 100.0",False,False,False,5929.54,44263.3
"Fedratinib (SAR302503, TG101348) | 1000.0",False,False,False,-955.166,14540.1
"Filgotinib (GLPG0634) | 10.0",False,False,False,5317.46,31003.7
"Filgotinib (GLPG0634) | 100.0",False,False,False,2719.54,26993.3
"Filgotinib (GLPG0634) | 1000.0",False,False,False,3905.63,39309.1
"Filgotinib (GLPG0634) | 10000.0",False,False,False,6969.41,40384.7
"Fluorouracil (5-Fluoracil, 5-FU) | 10.0",False,False,False,375.627,16911.4
"Fluorouracil (5-Fluoracil, 5-FU) | 100.0",False,False,False,-2789.94,10550.7
"Fluorouracil (5-Fluoracil, 5-FU) | 1000.0",False,False,False,6946.02,38488.6
"Fulvestrant | 10.0",False,False,False,-5231.53,6193.15
"Fulvestrant | 100.0",False,False,False,4825.32,18244.2
"Fulvestrant | 1000.0",False,False,False,-1605.85,12919.9
"Fulvestrant | 10000.0",False,False,False,-724.966,22719.6
"G007-LK | 10.0",False,False,False,-283.516,17522.6
"G007-LK | 100.0",False,False,False,-201.619,18294.9
"G007-LK | 1000.0",False,False,False,2838.6,24765.8
"G007-LK | 10000.0",False,False,False,113.113,23514.5
"GSK J1 | 10.0",False,False,False,3733.26,19839.3
"GSK J1 | 100.0",False,False,False,2019.1,31927.7
"GSK J1 | 1000.0",False,False,False,7759.47,58177.6
"GSK J1 | 10000.0",False,False,False,5176.94,52510.1
"GSK-LSD1 2HCl | 10.0",False,False,False,5460.48,15024.8
"GSK-LSD1 2HCl | 100.0",False,False,False,-1403.28,20961.4
"GSK-LSD1 2HCl | 1000.0",False,False,False,853.037,16222.2
"GSK-LSD1 2HCl | 10000.0",False,False,False,1506.39,16981.3
"GSK1070916 | 10.0",True,False,False,7996.23,23498.3
"GSK1070916 | 100.0",True,False,False,62871.9,121973
"GSK1070916 | 1000.0",True,False,False,22214.5,54298.5
"Gandotinib (LY2784544) | 10.0",False,False,False,1820.32,26241.5
"Gandotinib (LY2784544) | 100.0",False,False,False,3660.24,24643.4
"Gandotinib (LY2784544) | 1000.0",False,False,False,-2485.17,23719.3
"Givinostat (ITF2357) | 10.0",False,False,False,2676.39,35351.6
"Givinostat (ITF2357) | 100.0",False,False,False,-4418.42,3062.86
"Givinostat (ITF2357) | 1000.0",False,False,False,5287.29,24278.3
"Givinostat (ITF2357) | 10000.0",True,False,False,1647.21,18166.6
"Glesatinib?(MGCD265) | 10.0",False,False,False,12063.5,53603.6
"Glesatinib?(MGCD265) | 100.0",False,False,False,13572.9,101166
"Glesatinib?(MGCD265) | 1000.0",False,False,False,-4405.75,5049.46
"INO-1001 (3-Aminobenzamide) | 10.0",False,False,False,1876.08,27333.7
"INO-1001 (3-Aminobenzamide) | 100.0",False,False,False,825.414,14447.5
"INO-1001 (3-Aminobenzamide) | 1000.0",False,False,False,9467.43,71438.1
"INO-1001 (3-Aminobenzamide) | 10000.0",False,False,False,1587.72,23320.6
"IOX2 | 10.0",False,False,False,2572.3,17302.7
"IOX2 | 100.0",False,False,False,763.985,16395.9
"IOX2 | 1000.0",False,False,False,497.305,17875.6
"IOX2 | 10000.0",False,False,False,-3116.72,14164.4
"ITSA-1 (ITSA1) | 10.0",False,False,False,-3176.08,13922.5
"ITSA-1 (ITSA1) | 100.0",False,False,False,1915.22,18917
"ITSA-1 (ITSA1) | 1000.0",False,False,False,5518.6,37264.3
"ITSA-1 (ITSA1) | 10000.0",False,False,False,-1914.23,15750.1
"Iniparib (BSI-201) | 100.0",False,False,False,-240.124,21063.2
"Iniparib (BSI-201) | 1000.0",False,False,False,-806.056,15408.9
"Iniparib (BSI-201) | 10000.0",False,False,False,4302.1,27175.1
"Ivosidenib (AG-120) | 100.0",False,False,False,6572.67,44436.1
"Ivosidenib (AG-120) | 1000.0",False,False,False,3085.12,27973.8
"JNJ-26854165 (Serdemetan) | 10.0",False,False,False,1362.65,30505.7
"JNJ-26854165 (Serdemetan) | 100.0",False,False,False,4978.56,24964.5
